,image_type,oddball,mark,rts,resps
0,0,0,2,NA,NA
1,1,0,0,NA,NA
2,0,0,2,NA,NA
3,1,0,0,NA,NA
4,0,0,2,NA,NA
5,1,0,0,NA,NA
6,0,0,2,NA,NA
7,0,1,3,NA,NA
8,0,0,2,NA,NA
9,1,1,1,NA,NA
10,1,0,0,NA,NA
11,1,0,0,NA,NA
12,0,0,2,NA,NA
13,1,0,0,NA,NA
14,1,0,0,NA,NA
15,1,0,0,NA,NA
16,1,0,0,NA,NA
17,1,0,0,NA,NA
18,0,1,3,NA,NA
19,0,0,2,NA,NA
20,1,0,0,NA,NA
21,0,0,2,NA,NA
22,0,0,2,NA,NA
23,1,0,0,NA,NA
24,1,0,0,NA,NA
25,1,0,0,NA,NA
26,1,0,0,NA,NA
27,1,0,0,NA,NA
28,0,0,2,NA,NA
29,1,1,1,NA,NA
30,0,0,2,NA,NA
31,1,1,1,NA,NA
32,1,0,0,NA,NA
33,0,0,2,NA,NA
34,1,0,0,NA,NA
35,0,0,2,NA,NA
36,0,0,2,NA,NA
37,1,0,0,NA,NA
38,1,0,0,NA,NA
39,1,1,1,NA,NA
40,0,0,2,NA,NA
41,0,0,2,NA,NA
42,0,0,2,NA,NA
43,1,0,0,NA,NA
44,0,0,2,NA,NA
45,0,0,2,NA,NA
46,0,0,2,NA,NA
47,0,0,2,NA,NA
48,1,0,0,NA,NA
49,0,0,2,NA,NA
50,0,0,2,NA,NA
51,0,0,2,NA,NA
52,0,0,2,NA,NA
53,0,1,3,NA,NA
54,1,0,0,NA,NA
55,0,0,2,NA,NA
56,1,0,0,NA,NA
57,0,0,2,NA,NA
58,1,0,0,NA,NA
59,0,0,2,NA,NA
60,1,0,0,NA,NA
61,1,0,0,NA,NA
62,0,0,2,NA,NA
63,1,0,0,NA,NA
64,0,0,2,NA,NA
65,1,1,1,NA,NA
66,1,0,0,NA,NA
67,1,0,0,NA,NA
68,1,0,0,NA,NA
69,1,0,0,NA,NA
70,1,0,0,NA,NA
71,1,0,0,NA,NA
72,1,0,0,NA,NA
73,1,0,0,NA,NA
