timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583421770.594,36.621,37.109,44.434,38.086,67.871,0
1583421770.598,41.504,37.109,36.133,42.969,22.461,0
1583421770.602,42.480,35.156,34.180,41.504,-9.766,0
1583421770.606,41.992,37.109,34.180,37.109,60.059,0
1583421770.610,44.922,37.598,32.715,38.574,76.660,0
1583421770.614,46.875,41.992,24.902,39.062,20.020,0
1583421770.618,39.551,40.527,28.809,31.738,-17.578,0
1583421770.621,32.227,34.180,38.086,27.344,14.648,0
1583421770.625,30.273,33.203,36.621,31.250,103.027,0
1583421770.629,27.344,34.180,36.621,29.785,83.008,0
1583421770.633,26.367,34.180,40.527,30.273,14.160,0
1583421770.637,37.109,35.156,38.086,39.062,36.133,0
1583421770.634,42.480,27.344,33.691,40.039,68.359,0
1583421770.638,27.344,21.973,33.203,27.832,36.133,0
1583421770.642,16.113,26.855,30.273,22.949,7.324,0
1583421770.646,13.184,24.902,37.109,25.391,29.297,0
1583421770.650,15.137,23.438,44.434,24.414,59.570,0
1583421770.654,18.555,23.438,48.340,25.391,41.504,0
1583421770.658,16.602,23.438,46.387,26.855,41.016,0
1583421770.661,14.160,24.902,42.969,28.809,66.406,0
1583421770.665,14.648,24.902,41.992,28.320,-9.766,0
1583421770.669,20.996,24.414,40.039,27.832,-15.625,0
1583421770.673,28.809,20.996,45.410,30.273,62.012,0
1583421770.677,28.320,19.043,47.363,31.738,82.520,0
1583421770.674,30.273,22.461,42.969,31.738,64.941,0
1583421770.678,32.715,24.902,42.969,31.738,57.129,0
1583421770.682,32.715,32.715,45.410,32.715,17.578,0
1583421770.686,29.785,34.180,37.109,33.203,20.020,0
1583421770.690,31.250,30.762,22.461,32.715,-11.719,0
1583421770.694,35.156,31.738,37.109,37.109,3.906,0
1583421770.698,40.039,32.227,51.758,41.016,1.465,0
1583421770.701,38.574,33.691,44.922,39.062,-37.109,0
1583421770.705,31.250,33.203,42.480,34.668,1.953,0
1583421770.709,31.738,32.715,42.969,39.062,-15.625,0
1583421770.713,32.227,32.715,37.109,41.992,4.395,0
1583421770.717,26.855,25.879,34.668,38.574,50.293,0
1583421770.734,23.926,28.320,45.898,34.668,21.973,0
1583421770.738,22.461,37.109,51.758,31.250,55.176,0
1583421770.742,25.391,33.203,47.363,35.156,104.980,0
1583421770.746,26.367,28.809,40.527,37.598,82.520,0
1583421770.750,25.879,34.180,38.574,40.527,69.824,0
