timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583340531.047,40.039,21.973,33.203,3.418,-31.738,0
1583340531.051,47.363,21.973,32.715,5.371,-5.371,0
1583340531.055,29.297,22.949,35.645,4.395,-6.836,0
1583340531.059,15.137,22.949,36.133,5.859,-19.531,0
1583340531.063,26.855,23.438,37.109,7.324,-17.090,0
1583340531.067,42.969,26.855,36.621,11.719,0.000,0
1583340531.071,36.133,25.879,36.621,15.625,-10.742,0
1583340531.074,19.531,24.414,40.527,13.672,-23.926,0
1583340531.078,26.855,24.414,40.527,14.648,11.230,0
1583340531.082,48.340,27.832,42.969,15.137,2.930,0
1583340531.086,40.039,27.832,43.945,8.789,-18.066,0
1583340531.090,19.043,25.879,37.598,7.812,-1.465,0
1583340531.087,21.973,29.297,40.039,11.230,-13.672,0
1583340531.091,42.969,26.367,41.504,14.648,11.230,0
1583340531.095,49.805,26.367,37.598,14.160,38.574,0
1583340531.099,31.250,32.715,40.039,12.207,38.574,0
1583340531.103,21.973,32.715,41.016,17.090,49.316,0
1583340531.107,36.133,30.762,41.992,21.973,39.062,0
1583340531.111,45.410,29.297,41.992,20.996,45.410,0
1583340531.114,33.691,33.691,42.480,15.625,41.992,0
1583340531.118,21.973,35.156,43.945,14.648,5.859,0
1583340531.122,34.180,28.809,41.992,16.113,11.719,0
1583340531.126,45.410,30.762,44.434,17.090,32.715,0
1583340531.130,33.691,31.250,42.480,13.184,18.066,0
1583340531.147,12.695,32.715,41.992,4.883,-13.184,0
1583340531.151,17.578,36.133,40.527,1.465,20.996,0
1583340531.155,43.945,33.203,33.203,7.324,47.363,0
1583340531.159,41.016,32.227,33.203,9.277,46.387,0
1583340531.163,18.066,31.250,36.621,9.766,51.758,0
1583340531.167,18.555,32.715,37.109,12.695,16.113,0
1583340531.171,35.156,30.273,30.273,11.230,24.902,0
1583340531.174,39.062,28.320,26.367,10.742,66.895,0
1583340531.178,19.043,29.297,30.762,9.766,45.898,0
1583340531.182,12.695,29.785,29.297,8.789,14.160,0
1583340531.186,27.344,31.250,30.762,9.766,39.062,0
1583340531.190,34.180,29.297,33.203,10.254,56.641,0
1583340531.207,21.973,27.832,29.297,8.301,34.668,0
1583340531.211,13.672,28.320,31.738,6.348,24.414,0
1583340531.215,28.320,30.762,38.574,10.254,37.109,0
1583340531.219,44.434,33.691,38.086,12.207,58.594,0
1583340531.223,36.133,33.203,35.645,9.277,21.973,0
1583340531.227,15.137,31.250,34.668,7.812,8.789,0
1583340531.231,19.043,30.273,31.738,6.836,14.648,0
1583340531.234,38.574,28.320,31.250,12.207,20.508,0
1583340531.238,40.039,26.855,33.203,12.695,48.340,0
1583340531.242,18.555,27.344,35.156,4.395,18.555,0
1583340531.246,12.695,24.902,32.227,1.953,-4.883,0
1583340531.250,34.180,25.879,31.250,8.301,25.879,0
1583340531.228,43.457,25.879,32.715,12.207,56.152,0
1583340531.232,25.391,25.879,35.156,8.301,41.016,0
1583340531.236,13.184,26.855,36.621,6.348,9.766,0
1583340531.240,24.902,22.461,31.250,4.883,38.086,0
1583340531.244,36.621,23.438,28.320,8.789,52.734,0
1583340531.248,23.438,25.879,30.273,10.254,9.277,0
1583340531.252,10.742,25.879,31.738,5.371,5.859,0
1583340531.255,21.973,24.902,30.273,6.348,23.926,0
1583340531.259,40.527,25.391,32.227,10.742,22.461,0
1583340531.263,36.133,24.902,34.668,9.766,18.066,0
1583340531.267,21.973,25.879,35.156,11.230,8.789,0
1583340531.271,22.461,26.367,34.668,13.672,26.855,0
1583340531.287,36.621,26.367,35.645,12.695,26.367,0
1583340531.291,38.574,28.809,36.133,10.742,20.996,0
1583340531.295,20.996,29.785,39.551,10.742,17.578,0
1583340531.299,17.090,29.785,43.457,14.648,0.488,0
1583340531.303,39.062,30.762,41.016,17.578,38.086,0
1583340531.307,45.410,30.762,42.969,18.555,10.742,0
1583340531.311,26.855,25.391,42.480,9.277,-22.949,0
1583340531.314,21.484,24.902,39.551,7.812,10.742,0
1583340531.318,35.156,28.809,41.504,12.695,11.230,0
1583340531.322,46.875,27.344,41.016,12.207,21.484,0
1583340531.326,34.180,31.250,41.992,15.137,13.184,0
1583340531.330,15.625,32.227,41.016,8.301,-8.789,0
1583340531.327,26.367,29.297,37.109,1.465,15.625,0
1583340531.331,46.875,29.785,38.086,5.859,60.547,0
1583340531.335,41.504,27.832,37.109,6.348,54.199,0
1583340531.339,24.414,29.785,37.598,8.301,-0.977,0
1583340531.343,28.809,34.180,40.527,10.254,-26.367,0
1583340531.347,47.852,33.203,40.527,13.184,10.742,0
1583340531.351,51.758,31.250,40.039,13.672,10.742,0
1583340531.354,37.598,30.273,36.133,10.254,-17.090,0
1583340531.358,32.227,36.621,37.109,15.625,-46.387,0
1583340531.362,49.316,38.574,40.039,15.625,-51.758,0
1583340531.366,60.547,32.227,38.086,16.602,-28.320,0
1583340531.370,41.992,29.785,36.621,17.090,-18.555,0
1583340531.367,27.344,31.738,41.016,17.090,-16.602,0
1583340531.371,40.527,34.180,43.457,21.484,-0.977,0
1583340531.375,52.734,31.250,42.480,18.066,-11.230,0
1583340531.379,41.504,25.879,37.598,15.625,-17.578,0
1583340531.383,24.414,32.227,40.039,17.090,-9.277,0
1583340531.387,25.879,35.645,42.480,16.602,-17.578,0
1583340531.391,41.504,30.273,37.109,18.066,-6.348,0
1583340531.394,35.156,28.809,36.621,11.719,-2.930,0
1583340531.398,13.184,29.785,35.156,0.488,-17.090,0
1583340531.402,12.695,28.320,30.762,0.977,-9.766,0
1583340531.406,30.762,26.367,32.227,7.812,23.926,0
1583340531.410,41.504,28.809,35.645,10.742,19.043,0
1583340531.427,21.973,26.367,33.691,8.301,-29.297,0
1583340531.431,16.113,22.461,35.156,9.766,-41.504,0
1583340531.435,40.039,22.949,40.039,15.625,-14.160,0
1583340531.439,51.758,23.438,39.062,17.090,-0.488,0
1583340531.443,35.645,25.879,37.598,19.043,0.977,0
1583340531.447,22.949,30.273,41.504,21.973,-7.324,0
1583340531.451,37.109,31.738,40.039,22.461,-2.441,0
1583340531.454,54.199,32.227,38.086,23.926,34.668,0
1583340531.458,47.852,36.133,44.434,25.879,35.156,0
1583340531.462,31.738,35.156,48.340,25.391,9.766,0
1583340531.466,34.668,33.203,46.387,20.020,-11.719,0
1583340531.470,53.711,32.715,43.945,19.531,-9.277,0
1583340531.467,54.199,31.250,46.387,21.973,20.020,0
1583340531.471,31.738,32.227,49.805,20.508,2.930,0
1583340531.475,24.414,29.785,47.852,17.578,4.883,0
1583340531.479,46.875,33.203,51.758,20.996,6.836,0
1583340531.483,52.246,35.645,51.758,22.461,-9.766,0
1583340531.487,30.273,33.691,45.898,19.531,34.668,0
1583340531.491,21.973,32.715,47.363,22.461,17.578,0
1583340531.494,39.062,30.762,47.363,20.996,-0.977,0
1583340531.498,50.293,34.180,51.270,20.508,5.859,0
1583340531.502,32.715,35.156,53.223,17.578,-15.137,0
1583340531.506,21.973,29.785,44.434,10.742,4.883,0
1583340531.510,32.227,30.762,43.457,10.742,29.785,0
1583340531.527,46.875,35.156,49.805,13.672,22.461,0
1583340531.531,43.457,37.109,51.758,15.625,20.020,0
1583340531.535,26.367,34.668,48.828,13.184,19.043,0
1583340531.539,24.414,29.785,43.457,7.812,32.715,0
1583340531.543,41.016,33.203,42.480,11.719,26.855,0
1583340531.547,44.922,33.203,46.875,16.113,18.066,0
1583340531.551,27.344,32.715,49.805,13.672,13.184,0
1583340531.554,17.090,35.156,46.875,6.348,-8.301,0
1583340531.558,30.762,28.320,41.504,1.465,35.645,0
1583340531.562,41.992,29.785,43.945,6.836,41.016,0
1583340531.566,27.344,33.203,41.504,9.277,22.949,0
1583340531.570,20.996,34.180,43.457,11.719,19.043,0
1583340531.567,33.691,35.645,49.805,17.090,-8.789,0
1583340531.571,46.875,34.668,47.852,17.578,10.254,0
1583340531.575,39.551,35.156,48.828,18.555,14.648,0
1583340531.579,20.020,33.691,46.875,20.020,-39.062,0
1583340531.583,28.809,34.180,46.387,21.973,-27.832,0
1583340531.587,46.387,36.133,50.293,26.367,22.949,0
1583340531.591,38.574,33.691,47.363,21.484,28.320,0
1583340531.594,23.438,33.203,45.898,19.043,-4.395,0
1583340531.598,20.508,34.180,47.852,18.066,-20.020,0
1583340531.602,38.086,30.762,49.805,20.508,23.438,0
1583340531.606,45.898,33.691,51.758,25.879,34.180,0
1583340531.610,30.762,34.668,51.270,19.531,9.766,0
1583340531.607,30.762,29.785,52.246,17.090,16.602,0
1583340531.611,52.734,33.691,49.805,22.461,11.719,0
1583340531.615,63.965,34.668,45.898,21.484,20.020,0
1583340531.619,49.316,39.062,50.293,23.438,-9.277,0
1583340531.623,38.086,41.504,48.828,20.996,-20.996,0
1583340531.627,49.805,35.156,41.016,26.367,30.762,0
1583340531.631,61.523,35.156,38.574,38.574,42.969,0
1583340531.634,48.340,35.645,39.551,34.668,21.973,0
1583340531.638,26.855,38.574,42.969,25.391,-19.043,0
1583340531.642,25.391,35.645,43.945,16.113,-8.301,0
1583340531.646,43.457,31.738,44.434,14.160,14.160,0
1583340531.650,36.621,33.203,44.922,16.113,17.090,0
1583340531.667,14.160,31.250,41.992,11.230,35.645,0
1583340531.671,14.160,33.203,44.922,13.672,31.250,0
1583340531.675,31.738,35.645,46.387,13.672,21.484,0
1583340531.679,35.156,31.738,43.945,12.695,46.875,0
1583340531.683,21.484,29.297,43.945,15.625,50.293,0
1583340531.687,17.578,29.785,44.434,14.160,20.996,0
1583340531.691,28.320,33.691,45.410,15.625,15.137,0
1583340531.694,35.645,32.715,42.480,7.324,-5.859,0
1583340531.698,22.461,26.855,37.109,0.000,-7.324,0
1583340531.702,7.324,29.785,33.691,3.418,14.160,0
1583340531.706,22.949,31.250,35.156,5.859,8.789,0
1583340531.710,40.039,28.809,42.969,12.207,16.602,0
1583340531.707,32.227,29.297,43.945,10.254,8.789,0
1583340531.711,12.695,27.344,37.598,2.930,-12.207,0
1583340531.715,17.090,26.855,37.109,6.836,14.160,0
1583340531.719,40.039,30.273,38.574,13.184,32.715,0
1583340531.723,39.551,30.273,40.039,15.625,24.414,0
1583340531.727,20.996,30.273,41.016,11.719,24.902,0
1583340531.731,19.531,31.250,39.062,8.789,35.645,0
1583340531.734,40.527,30.762,40.527,12.207,51.758,0
1583340531.738,48.340,31.738,41.992,9.766,23.438,0
1583340531.742,28.809,33.691,41.504,6.836,10.254,0
1583340531.746,16.602,37.109,45.898,4.883,0.000,0
1583340531.750,32.715,35.645,46.875,3.418,-18.555,0
1583340531.767,46.875,33.203,39.062,7.812,-3.906,0
1583340531.771,33.203,33.691,39.062,9.277,-7.324,0
1583340531.775,18.555,29.297,45.898,8.301,-3.906,0
1583340531.779,23.926,29.785,47.363,8.301,-19.043,0
1583340531.783,36.133,34.668,45.898,12.207,-12.207,0
1583340531.787,29.785,31.738,48.828,15.137,11.719,0
1583340531.791,14.648,28.809,47.852,12.695,-12.695,0
1583340531.794,17.090,31.250,44.434,12.207,-27.344,0
1583340531.798,32.715,33.203,47.363,13.184,-55.176,0
1583340531.802,35.156,30.762,47.363,10.742,-59.082,0
1583340531.806,20.996,30.273,48.828,13.184,-47.363,0
1583340531.810,18.555,29.297,47.363,14.648,-64.453,0
1583340531.788,37.109,29.297,45.898,14.648,-50.781,0
1583340531.792,42.969,32.715,47.852,10.254,-44.434,0
1583340531.796,23.438,29.785,46.387,4.883,-49.805,0
1583340531.800,16.602,28.320,43.457,5.859,-68.359,0
1583340531.804,35.156,27.832,42.969,9.277,-64.941,0
