timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583422062.115,80.078,58.594,8.301,60.059,96.191,0
1583422062.119,97.168,54.199,7.812,81.543,-8.789,0
1583422062.123,109.375,58.105,1.465,97.168,47.852,0
1583422062.127,119.141,61.035,2.441,105.469,117.188,0
1583422062.131,123.535,59.570,5.371,113.770,84.961,0
1583422062.135,130.859,57.617,3.906,128.418,24.414,0
1583422062.139,141.113,52.734,0.977,138.672,-4.883,0
1583422062.142,146.484,46.875,0.977,143.066,-21.973,0
1583422062.146,148.926,40.039,3.418,150.879,-34.180,0
1583422062.150,157.715,39.062,3.418,157.715,21.484,0
1583422062.154,162.598,39.062,10.742,164.062,68.848,0
1583422062.158,161.133,35.645,17.578,169.922,66.406,0
1583422062.155,169.922,31.738,22.949,176.270,-3.906,0
1583422062.159,182.617,28.320,13.672,185.059,7.324,0
1583422062.163,189.453,29.785,4.395,181.641,41.504,0
1583422062.167,189.453,26.367,21.973,176.270,79.590,0
1583422062.171,189.941,19.043,32.227,185.547,29.785,0
1583422062.175,193.359,19.043,32.227,187.500,-49.316,0
1583422062.179,195.801,18.066,32.227,183.105,-29.785,0
1583422062.182,199.707,17.090,31.738,191.406,27.832,0
1583422062.186,199.707,15.625,28.320,198.242,51.758,0
1583422062.190,200.684,7.812,23.926,204.590,54.688,0
1583422062.194,206.543,5.859,29.297,209.961,64.941,0
1583422062.198,203.613,17.090,34.668,209.961,56.641,0
1583422062.215,195.312,21.484,27.832,206.055,9.277,0
1583422062.219,192.871,21.973,24.414,198.730,9.766,0
1583422062.223,194.824,21.484,21.973,192.383,67.871,0
1583422062.227,190.918,21.973,16.113,188.965,26.855,0
1583422062.231,183.594,19.043,23.926,183.105,13.184,0
1583422062.235,184.082,17.578,32.227,180.664,20.996,0
1583422062.239,185.059,18.555,31.738,176.758,18.066,0
1583422062.242,180.176,14.648,31.738,174.316,52.246,0
1583422062.246,170.410,13.184,28.320,176.758,43.945,0
1583422062.250,170.898,10.742,22.949,173.828,74.219,0
1583422062.254,167.480,8.301,28.809,171.387,60.059,0
1583422062.258,161.621,13.672,32.715,170.410,8.789,0
1583422062.255,157.715,18.555,29.785,164.062,8.789,0
1583422062.259,152.344,16.602,28.320,158.691,21.484,0
1583422062.263,148.926,15.137,33.691,155.273,74.707,0
1583422062.267,145.996,21.484,35.156,148.438,80.566,0
1583422062.271,149.414,24.902,28.320,147.949,54.688,0
1583422062.275,152.832,21.484,33.203,152.344,44.922,0
1583422062.279,144.043,22.461,27.344,145.996,36.133,0
1583422062.282,134.277,21.973,14.648,137.207,41.992,0
1583422062.286,130.371,20.508,30.762,133.301,56.641,0
1583422062.290,128.906,20.996,44.922,129.883,41.504,0
1583422062.294,125.000,16.113,37.109,125.977,55.176,0
1583422062.298,120.605,10.254,41.992,124.023,75.195,0
1583422062.295,120.117,17.578,46.875,119.629,44.922,0
1583422062.299,119.629,24.414,40.039,115.723,2.441,0
1583422062.303,111.816,27.344,31.738,111.816,24.902,0
1583422062.307,106.445,32.715,29.785,105.469,-5.371,0
1583422062.311,106.934,28.320,31.738,104.004,0.000,0
1583422062.315,105.957,22.461,33.203,104.492,94.238,0
1583422062.319,102.539,25.391,35.156,104.492,72.266,0
1583422062.322,99.609,28.320,30.762,102.051,42.480,0
1583422062.326,99.121,26.367,23.438,102.051,49.316,0
1583422062.330,100.586,29.785,22.461,107.910,-2.930,0
1583422062.334,97.656,27.832,30.273,108.398,30.762,0
1583422062.338,92.773,18.555,41.016,103.516,15.137,0
1583422062.355,87.891,21.484,41.504,101.074,-9.766,0
1583422062.359,83.008,29.297,37.598,94.238,51.270,0
1583422062.363,79.590,33.691,36.621,86.914,24.902,0
1583422062.367,74.707,28.320,31.250,82.031,55.664,0
1583422062.371,73.730,18.555,36.133,76.172,81.055,0
1583422062.375,72.754,25.879,44.434,68.848,70.312,0
1583422062.379,69.824,32.227,39.551,61.523,58.594,0
1583422062.382,68.848,25.391,37.598,57.617,28.809,0
1583422062.386,69.336,27.344,32.715,60.547,22.461,0
1583422062.390,71.289,29.785,26.367,62.988,2.930,0
1583422062.394,73.730,26.855,33.203,64.453,-29.297,0
1583422062.398,71.777,26.855,33.203,63.477,17.578,0
1583422062.395,64.941,31.738,29.297,57.129,62.988,0
1583422062.399,62.012,31.250,34.668,55.176,-10.742,0
1583422062.403,57.617,28.320,37.109,51.758,20.508,0
1583422062.407,48.828,26.855,33.203,48.340,64.941,0
1583422062.411,49.316,27.344,27.344,47.852,68.848,0
1583422062.415,48.340,31.738,24.902,44.434,40.527,0
1583422062.419,39.062,28.809,25.391,37.598,-32.227,0
1583422062.422,39.551,25.391,26.367,35.645,-9.277,0
1583422062.426,47.852,28.320,35.156,39.062,40.039,0
1583422062.430,53.223,25.879,32.227,42.480,96.680,0
1583422062.434,52.734,25.879,24.902,45.898,35.645,0
1583422062.438,51.758,33.203,33.691,45.898,-29.785,0
1583422062.435,49.805,35.156,36.133,43.457,29.297,0
1583422062.439,48.828,33.203,34.668,46.875,6.348,0
1583422062.443,49.805,33.203,32.715,46.875,-8.789,0
1583422062.447,40.527,30.762,29.297,39.062,23.926,0
1583422062.451,39.062,31.738,20.996,40.527,8.789,0
1583422062.455,55.664,41.016,14.648,55.176,-24.414,0
1583422062.459,57.617,39.062,23.926,58.594,-13.672,0
1583422062.462,50.781,34.180,36.621,43.457,6.348,0
1583422062.466,51.270,34.180,37.109,37.109,-46.387,0
1583422062.470,50.781,33.203,40.527,41.504,-41.504,0
1583422062.474,51.758,29.297,49.316,43.945,37.109,0
1583422062.478,56.641,26.367,48.340,44.434,66.406,0
1583422062.494,60.547,27.832,48.828,45.410,28.320,0
1583422062.498,54.688,22.949,55.664,45.898,62.988,0
1583422062.502,44.434,14.160,58.594,43.945,58.594,0
1583422062.506,35.156,8.789,57.617,41.992,45.410,0
1583422062.510,20.996,9.766,57.129,36.621,53.711,0
1583422062.514,10.742,7.812,56.152,32.715,45.410,0
1583422062.518,9.277,3.906,55.176,35.645,89.355,0
1583422062.521,15.137,3.418,52.246,39.551,68.848,0
1583422062.525,15.137,8.789,47.363,38.574,44.434,0
1583422062.529,18.555,18.555,45.410,38.086,59.570,0
1583422062.533,31.738,20.508,45.410,45.898,71.289,0
1583422062.537,36.133,16.602,45.410,52.246,69.824,0
1583422062.535,34.180,14.160,46.387,53.711,10.742,0
1583422062.539,38.086,15.625,47.852,55.176,-22.949,0
1583422062.543,36.621,16.602,46.387,57.617,-2.441,0
1583422062.547,34.180,16.113,43.945,60.059,2.930,0
1583422062.551,37.598,20.020,44.922,51.270,88.867,0
1583422062.555,41.992,19.043,42.969,43.945,69.336,0
1583422062.559,39.551,19.531,44.922,40.527,-8.789,0
1583422062.562,38.574,18.066,46.387,35.156,39.551,0
1583422062.566,46.387,18.066,41.992,31.738,74.219,0
1583422062.570,44.922,25.391,38.086,27.344,40.527,0
1583422062.574,40.039,27.832,38.086,27.832,12.695,0
1583422062.578,40.527,27.344,39.062,30.762,35.645,0
1583422062.595,34.180,25.879,34.180,34.668,8.301,0
