,image_type,oddball,mark,rts,resps
0,0,0,2,0.9853831999997256,m
1,1,0,0,0.583557499998187,z
2,0,0,2,0.4012021000005186,m
3,1,0,0,0.3342160999993802,z
4,0,1,3,0.3328187999998289,m
5,0,0,2,0.2503644000016243,z
6,0,0,2,0.43370259999868166,m
7,1,1,1,0.48283060000054023,z
8,1,0,0,0.5830712000005955,z
9,1,0,0,0.43396279999942133,z
10,1,0,0,0.3335738000006987,z
11,1,0,0,0.4003619000003864,z
12,0,1,3,0.3672000000000839,m
13,0,0,2,0.4182744000011629,m
14,1,0,0,0.516581400000637,z
15,1,0,0,0.5002801999990343,z
16,1,0,0,0.3836287999999579,z
17,1,1,1,0.3504769000001775,z
18,1,1,1,0.3671360999991351,z
19,1,0,0,0.4171268999989821,z
20,1,0,0,0.35034579999918636,z
21,1,0,0,0.38384389999870505,z
22,0,0,2,0.4670384999987245,m
23,1,0,0,0.4004233999977509,z
24,1,0,0,0.31700530000186933,z
25,0,0,2,0.30057890000021037,z
26,1,0,0,0.6004428000004023,m
27,1,0,0,0.8001234999987898,z
28,1,0,0,0.4171255000001046,z
29,0,0,2,0.4336880999999697,m
30,0,0,2,0.5670074999998325,m
31,0,1,3,0.3837542000005003,m
32,0,0,2,0.4335520999995375,m
33,1,0,0,0.43349760000170523,z
34,0,0,2,0.7168363000005022,m
35,0,0,2,0.35095030000098193,m
36,1,0,0,0.5507068999997975,z
37,1,0,0,0.3670453000020637,z
38,0,0,2,0.41688069999875066,m
39,1,0,0,0.5669660000008272,z
40,1,0,0,1.1000717000009572,z
41,0,0,2,0.43374209999946656,m
42,1,0,0,0.4668644000015236,z
43,0,0,2,0.4340286999998597,m
44,0,0,2,0.5003431000002503,m
45,1,0,0,0.4836617000003107,z
46,0,1,3,0.5335831999995104,m
47,1,0,0,0.8001077000001418,z
48,0,0,2,0.4669271999983531,m
49,0,0,2,0.7334383999997733,z
50,1,0,0,0.45032980000045986,z
51,0,0,2,0.4506075000012091,m
52,1,0,0,0.5668616000003668,z
53,1,0,0,0.45030710000009444,z
54,0,0,2,0.4502402000022576,m
55,1,0,0,0.5012846999993446,z
56,0,0,2,0.5170205999995863,m
57,1,0,0,0.4337364000004733,z
58,0,0,2,0.46691179999944254,m
59,0,0,2,0.3338600000010492,m
60,0,0,2,0.3496508999993655,m
61,1,0,0,0.6021956000009099,z
62,0,0,2,0.45076309999912856,m
63,0,0,2,0.5007399000005879,m
64,1,1,1,0.43383030000105194,z
65,1,0,0,0.48397419999946867,z
66,0,1,3,0.5334400999998166,m
67,0,0,2,0.4169816000019424,m
68,1,0,0,0.5837840000008485,m
69,0,0,2,0.4837693000008003,m
70,0,1,3,0.4339858000007446,m
71,1,0,0,0.3838707999999511,z
72,1,0,0,0.517051500000397,z
