,image_type,mark,oddball,rts,resps
0,1,0,0,NA,NA
1,1,0,0,NA,NA
2,1,0,0,0.5003170000023429,z
3,0,3,1,0.583647800003229,m
4,0,2,0,0.8996884999981043,m
5,1,1,1,1.2663279999994033,z
6,0,2,0,0.9836015999990917,m
7,1,0,0,1.2830662000023476,z
8,0,3,1,0.6002220999997459,m
9,1,0,0,0.7333843999985079,z
10,0,2,0,0.5003841000000051,m
11,1,0,0,0.6334174999993678,m
12,1,0,0,0.9012770999972795,z
13,0,2,0,0.5306792000008476,m
14,0,2,0,0.48388750000151126,m
15,0,2,0,0.38388819999825263,m
16,0,2,0,0.36710440000082567,m
17,0,2,0,0.33350080000034255,m
18,1,0,0,0.38345789999988744,z
19,0,2,0,0.35032169999938745,m
20,0,2,0,0.3337214999992617,m
21,0,2,0,0.48699979999945286,m
22,1,0,0,0.38358239999666677,z
23,1,0,0,0.6860097000038734,m
24,0,2,0,0.38468499999860617,m
25,0,2,0,0.31727250000146645,z
26,1,0,0,0.33396089999943657,m
27,0,2,0,NA,NA
28,1,0,0,0.28388820000011883,z
29,0,2,0,0.4188094999978256,m
30,0,3,1,0.6676484999992036,m
31,0,2,0,0.41890939999821075,z
32,1,0,0,0.284706799996687,z
33,1,0,0,0.26675280000274815,m
34,1,1,1,0.41741119999982135,z
35,1,0,0,0.5170284999996977,m
36,1,0,0,0.38374650000035504,m
37,0,2,0,0.4338795000012292,m
38,1,0,0,0.3503254999990084,z
39,1,0,0,0.48376959999813196,z
40,0,2,0,0.7169588000007818,m
41,0,2,0,0.5170425999964063,m
42,1,0,0,0.337266799997634,z
43,1,0,0,0.38365479999959273,z
44,1,0,0,0.3838973999998032,z
45,1,1,1,0.400527999998032,z
46,1,0,0,0.4160740000002445,z
47,1,0,0,0.38293549999913323,z
48,1,0,0,0.36839760000451194,z
49,0,2,0,0.48364859999831333,m
50,1,0,0,0.45239340000049544,z
51,1,1,1,0.34897899999690485,m
52,1,1,1,0.31706200000016316,z
53,0,2,0,0.5003272999996664,m
54,1,0,0,0.4336903000000696,m
55,0,2,0,0.3004413000013586,m
56,1,0,0,0.4170134000017447,z
57,1,0,0,0.48496050000181956,z
58,0,3,1,0.43445099999638725,m
59,1,0,0,0.38393889999736275,z
60,1,0,0,0.3836572000012042,z
61,1,0,0,0.3829600999999774,z
62,1,0,0,0.28408009999694395,z
63,1,0,0,0.36722260000199447,z
64,1,0,0,0.3169612000012698,z
65,0,2,0,0.2841103999983121,z
66,1,0,0,0.33362149999749957,z
67,1,0,0,0.550121200001372,z
68,1,0,0,0.36728289999720376,z
69,1,1,1,0.3505068000019109,m
70,0,2,0,0.3170082999952444,m
71,0,2,0,0.4682829999975435,z
72,0,2,0,0.6346754999962858,m
73,1,0,0,0.43394120000029135,z
