,image_type,oddball,mark,rts,resps
0,0,1,3,0.5369621000016742,m
1,1,0,0,NA,NA
2,1,0,0,0.7002821999988107,z
3,1,1,1,0.9834236999998616,z
4,0,0,2,0.5669297000005205,m
5,0,0,2,0.4172450000008281,m
6,0,1,3,0.5169185999989234,m
7,1,0,0,0.4504194000009043,z
8,0,0,2,0.7502162000000017,m
9,1,0,0,0.46739130000020856,z
10,1,1,1,0.5004466999999866,z
11,1,0,0,0.46713990000228245,z
12,0,0,2,0.4509045999976289,m
13,1,0,0,0.4336649000004178,z
14,0,0,2,0.38558899999924146,m
15,0,0,2,0.3674509999997948,m
16,0,1,3,0.31716629999912116,m
17,0,0,2,0.4003807000006625,m
18,0,0,2,0.4170730000000853,m
19,0,0,2,0.8333810999985427,m
20,0,0,2,0.5670433000013047,m
21,0,0,2,0.3505493000002371,m
22,1,0,0,0.350186100001076,m
23,0,0,2,0.3834557999992916,m
24,1,0,0,0.41726150000079465,z
25,1,0,0,0.4837104000024195,z
26,0,0,2,0.4347526000009174,m
27,0,0,2,0.2839987999987996,z
28,1,0,0,0.5331314000000371,z
29,0,0,2,0.5008127999993746,m
30,0,1,3,0.5167355000004288,m
31,0,0,2,0.36683509999973296,m
32,1,0,0,0.43370490000068807,z
33,1,0,0,0.5003737999992299,z
34,0,0,2,0.4335812000016226,m
35,0,0,2,0.5169681999997724,m
36,1,0,0,0.45041940000063097,z
37,0,0,2,0.7335538000001265,m
38,1,0,0,0.4171053999993555,z
39,1,0,0,0.45107090000125205,z
40,1,1,1,0.41762279999955654,z
41,0,0,2,0.4506586000014918,m
42,1,0,0,0.48375630000077385,z
43,0,0,2,0.4503980999989252,m
44,1,1,1,0.4006344000015394,z
45,1,0,0,0.6004707999998271,m
46,1,0,0,0.45026479999969427,z
47,1,0,0,0.3836419999993246,z
48,0,0,2,0.4166259000001924,m
49,1,0,0,0.4338168000002991,z
50,0,0,2,0.5166498999997597,m
51,0,0,2,0.4171733999984202,m
52,1,0,0,0.43370860000015177,z
53,0,0,2,0.4523331999984723,m
54,0,0,2,0.350926999998757,m
55,1,0,0,0.4671477000010915,z
56,0,0,2,0.4829637999993448,m
57,0,1,3,0.3169261999986639,m
58,0,0,2,0.3003645000003985,m
59,0,1,3,0.3338052000005616,m
60,0,1,3,0.3171409000002223,m
61,1,0,0,0.36747000000041363,z
62,1,0,0,0.3168840999994744,z
63,0,0,2,0.3337584999987999,z
64,0,1,3,0.5169184999999559,m
65,1,0,0,0.4503431999998455,z
66,0,1,3,0.48360150000096813,m
67,0,0,2,0.4671210999995139,m
68,0,0,2,0.6000211000001738,m
69,0,0,2,0.35038029999946785,m
70,0,0,2,0.30048530000104257,m
71,1,0,0,0.4503404999991205,z
72,1,1,1,0.5168296999993938,z
