timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1571370336.155,9.277,54.199,36.133,41.992,26.855,0
1571370336.159,57.617,51.758,36.133,24.902,62.988,0
1571370336.163,85.938,50.781,37.109,22.461,66.895,0
1571370336.167,42.480,53.711,35.156,52.734,47.852,0
1571370336.171,4.395,54.199,34.180,40.039,70.801,0
1571370336.175,46.875,53.711,37.109,34.668,86.914,0
1571370336.179,84.961,54.199,36.133,33.691,59.082,0
1571370336.182,35.645,53.711,37.109,36.621,30.762,0
1571370336.186,-6.348,50.781,38.086,33.691,34.180,0
1571370336.190,30.273,47.852,35.645,33.691,27.832,0
1571370336.194,75.684,46.387,38.574,18.066,0.488,0
1571370336.198,56.152,44.922,41.016,32.227,35.645,0
1571370336.195,0.000,44.922,39.062,44.434,6.836,0
1571370336.199,6.348,45.410,39.551,30.762,-7.324,0
1571370336.203,62.012,50.781,40.039,10.254,37.598,0
1571370336.207,71.289,50.293,40.527,28.320,63.477,0
1571370336.211,16.113,48.340,41.504,57.129,64.453,0
1571370336.215,0.000,48.828,41.992,36.133,19.531,0
1571370336.219,54.199,47.852,43.457,33.203,44.434,0
1571370336.222,85.938,50.781,41.504,38.574,70.312,0
1571370336.226,38.574,54.688,39.551,56.152,10.742,0
1571370336.230,-1.465,54.199,38.086,46.875,-7.812,0
1571370336.234,39.062,49.805,37.598,36.621,70.801,0
1571370336.238,87.891,50.293,39.551,24.902,85.938,0
1571370336.235,58.105,53.711,40.039,39.551,34.180,0
1571370336.239,8.789,54.688,38.574,46.387,-3.906,0
1571370336.243,34.180,54.199,37.598,38.086,13.672,0
1571370336.247,85.449,52.246,40.527,14.648,36.621,0
1571370336.251,78.613,55.176,40.527,39.062,24.902,0
1571370336.255,27.344,58.105,36.133,52.734,14.648,0
1571370336.259,17.578,58.594,35.645,20.020,-17.090,0
1571370336.262,59.082,57.129,36.133,-6.836,-31.250,0
1571370336.266,68.359,56.152,33.203,0.488,38.086,0
1571370336.270,9.766,55.176,29.785,25.391,86.426,0
1571370336.274,-13.672,51.758,30.273,7.812,71.777,0
1571370336.278,44.922,52.734,31.250,4.883,11.719,0
1571370336.295,78.125,53.223,30.273,-0.977,10.254,0
1571370336.299,27.344,50.781,28.809,8.301,87.402,0
1571370336.303,-13.184,49.316,28.809,7.324,45.410,0
1571370336.307,28.809,48.828,33.691,11.719,-17.578,0
1571370336.311,78.125,52.246,33.691,8.789,16.113,0
1571370336.315,46.875,53.711,32.227,27.344,29.785,0
1571370336.319,-3.906,53.223,29.785,33.203,-20.996,0
1571370336.322,18.066,51.758,28.809,26.367,1.465,0
1571370336.326,71.777,51.270,34.180,16.113,-10.742,0
1571370336.330,69.824,50.293,34.668,39.062,5.371,0
1571370336.334,13.672,49.805,36.133,59.082,80.078,0
1571370336.338,3.906,49.805,39.551,40.039,20.020,0
1571370336.355,57.617,49.316,38.086,35.156,23.438,0
1571370336.359,71.289,48.828,37.598,41.504,47.363,0
1571370336.363,15.625,48.340,36.621,63.965,-3.906,0
1571370336.367,-12.695,47.363,32.227,58.105,33.691,0
1571370336.371,37.598,47.852,31.738,50.781,48.340,0
1571370336.375,75.195,48.828,31.250,47.852,37.109,0
1571370336.379,31.250,47.852,27.832,57.129,20.508,0
1571370336.382,-1.953,49.316,25.879,52.246,28.809,0
1571370336.386,37.598,50.293,26.367,54.199,0.000,0
1571370336.390,83.984,51.270,23.926,36.621,49.316,0
1571370336.394,57.617,48.828,22.461,44.922,63.477,0
1571370336.398,5.371,47.363,22.949,54.199,23.438,0
1571370336.375,19.043,51.758,22.461,42.969,32.227,0
1571370336.379,72.266,53.711,25.391,22.949,80.566,0
1571370336.383,72.266,53.711,25.879,37.598,89.355,0
1571370336.387,13.184,52.734,28.809,60.059,-34.180,0
1571370336.391,-3.418,53.223,31.250,40.039,9.766,0
1571370336.395,47.852,54.688,31.738,27.832,64.941,0
1571370336.399,76.660,57.129,30.762,36.621,34.180,0
1571370336.402,25.391,57.129,32.227,56.152,-10.742,0
1571370336.406,-3.418,54.688,36.133,43.457,-43.457,0
1571370336.410,42.480,50.293,38.086,41.992,-46.387,0
1571370336.414,80.078,50.293,39.062,42.480,-12.695,0
1571370336.418,47.852,50.293,37.598,55.176,36.621,0
1571370336.435,2.441,47.852,36.133,58.105,23.926,0
1571370336.439,27.344,48.340,37.598,55.664,1.953,0
1571370336.443,76.660,49.316,37.598,31.250,29.297,0
1571370336.447,56.152,48.340,39.551,47.852,36.621,0
1571370336.451,2.930,48.828,38.086,62.988,30.762,0
1571370336.455,16.602,51.270,36.133,53.711,78.613,0
1571370336.459,65.430,51.758,38.086,31.738,28.809,0
1571370336.462,64.453,51.270,38.086,35.645,21.484,0
1571370336.466,15.625,49.805,36.621,71.289,44.922,0
1571370336.470,1.953,47.363,37.109,53.223,-2.441,0
1571370336.474,50.293,45.898,37.109,40.039,5.371,0
1571370336.478,78.125,47.363,37.109,50.293,41.504,0
1571370336.495,31.738,49.805,37.109,64.941,62.500,0
1571370336.499,-3.906,43.945,37.598,50.781,49.316,0
1571370336.503,39.551,44.922,41.016,45.898,-12.695,0
1571370336.507,83.984,47.363,41.504,30.273,-25.391,0
1571370336.511,43.945,43.945,37.598,43.945,20.020,0
1571370336.515,-10.254,45.410,36.621,55.176,6.836,0
1571370336.519,13.184,45.898,35.645,46.387,0.000,0
1571370336.522,64.453,41.016,35.156,18.066,49.805,0
1571370336.526,48.828,39.062,35.645,28.320,72.266,0
1571370336.530,-7.324,41.504,33.691,47.852,41.992,0
1571370336.534,-0.977,43.945,34.180,32.227,34.180,0
1571370336.538,56.152,46.387,36.133,12.695,11.719,0
1571370336.516,68.848,46.875,32.715,26.367,51.758,0
1571370336.520,15.137,45.898,30.762,57.129,83.008,0
1571370336.524,-2.930,47.852,33.203,41.016,6.836,0
1571370336.528,55.664,48.340,34.180,37.598,-8.789,0
1571370336.532,89.844,47.852,33.203,37.109,18.066,0
1571370336.536,46.387,45.898,33.691,47.363,28.320,0
1571370336.540,2.930,45.410,36.133,44.922,9.766,0
1571370336.543,37.109,47.363,38.086,42.480,24.414,0
1571370336.547,84.473,47.852,35.645,26.367,26.855,0
1571370336.551,51.758,50.293,34.668,39.062,52.734,0
1571370336.555,4.395,52.246,36.133,44.922,55.176,0
1571370336.559,32.227,50.293,36.133,43.457,36.133,0
1571370336.575,82.520,47.363,38.086,30.762,52.734,0
1571370336.579,71.777,48.340,36.133,36.133,27.832,0
1571370336.583,18.555,48.828,37.109,58.594,47.363,0
1571370336.587,12.207,47.852,39.062,49.805,32.715,0
1571370336.591,62.012,48.828,40.527,35.156,1.465,0
1571370336.595,76.172,51.270,39.551,43.457,20.020,0
1571370336.599,20.996,52.734,35.156,50.781,-2.441,0
1571370336.602,-2.930,50.781,34.180,32.227,22.461,0
1571370336.606,46.875,51.758,36.133,29.785,39.551,0
1571370336.610,86.914,51.758,39.062,27.344,19.531,0
1571370336.614,43.457,52.246,35.156,44.922,31.738,0
1571370336.618,-5.371,50.293,33.203,41.504,29.297,0
1571370336.616,29.297,47.363,37.598,41.992,19.043,0
1571370336.620,73.730,45.410,37.109,21.484,23.438,0
1571370336.624,43.457,45.410,34.668,32.227,1.953,0
1571370336.628,-4.883,44.922,36.133,46.875,-20.020,0
1571370336.632,6.836,43.945,37.598,33.203,0.000,0
1571370336.636,54.688,43.945,40.039,15.137,12.695,0
1571370336.640,52.734,41.016,41.992,30.762,21.973,0
1571370336.643,-2.441,39.062,42.969,54.199,-26.367,0
1571370336.647,-5.371,37.598,44.434,44.922,-14.648,0
1571370336.651,57.129,37.109,45.898,35.156,23.926,0
1571370336.655,80.566,39.551,47.363,41.992,51.270,0
1571370336.659,34.668,42.969,47.363,66.895,61.035,0
1571370336.655,6.348,43.457,45.410,56.152,59.082,0
1571370336.659,56.641,45.898,42.480,49.316,32.715,0
