timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579292103.498,30.762,34.668,-608.887,-968.750,41.016,0
1579292103.502,52.246,32.715,-856.445,-968.750,66.895,0
1579292103.506,88.379,30.762,-958.008,-968.262,38.086,0
1579292103.510,167.480,29.785,-834.473,-968.262,10.254,0
1579292103.514,234.375,32.715,-705.078,-970.703,-20.020,0
1579292103.518,235.840,33.691,-779.297,-958.984,-19.043,0
1579292103.522,193.848,32.227,-951.660,-970.215,30.762,0
1579292103.525,193.359,25.879,-882.812,-943.359,3.906,0
1579292103.529,229.004,24.414,-617.188,-550.293,-3.906,0
1579292103.533,180.664,30.273,-445.801,-246.094,33.691,0
1579292103.537,84.961,34.180,-504.883,-419.434,11.719,0
1579292103.541,61.523,33.691,-654.785,-269.531,-15.137,0
1579292103.538,58.105,23.926,-525.391,327.637,13.184,0
1579292103.542,-0.977,18.555,-308.594,713.379,53.223,0
1579292103.546,-48.828,19.531,-310.059,563.477,61.035,0
1579292103.550,-78.613,22.949,-431.152,463.867,7.324,0
1579292103.554,-87.402,25.879,-448.242,857.910,32.227,0
1579292103.558,-82.520,23.438,-443.359,-976.074,65.430,0
1579292103.562,-97.168,20.996,-527.832,984.863,6.348,0
1579292103.565,-123.047,19.531,-626.465,999.512,-40.527,0
1579292103.569,-100.098,20.020,-464.844,999.512,16.602,0
1579292103.573,-106.934,23.926,-488.770,999.512,24.414,0
1579292103.577,-145.996,27.344,-550.293,999.512,5.371,0
1579292103.581,-183.105,31.250,-319.336,999.512,47.852,0
1579292103.578,-229.492,33.203,-310.059,999.512,47.852,0
1579292103.582,-243.164,33.203,-256.836,999.512,27.832,0
1579292103.586,-294.922,39.062,-420.410,999.512,46.875,0
1579292103.590,-351.562,33.203,-646.484,999.512,28.809,0
1579292103.594,-347.168,22.949,-523.438,999.512,-16.602,0
1579292103.598,-310.547,22.949,-460.938,999.512,36.621,0
1579292103.602,-265.625,27.344,-467.285,999.512,23.438,0
1579292103.605,-268.555,36.133,-556.152,999.512,37.109,0
1579292103.609,-297.363,37.109,-728.516,999.512,64.453,0
1579292103.613,-263.672,29.297,-515.625,999.512,15.137,0
1579292103.617,-257.324,19.043,-280.762,999.512,17.090,0
1579292103.621,-295.898,23.438,-251.953,999.512,11.719,0
1579292103.638,-351.074,29.785,-387.207,999.512,20.996,0
1579292103.642,-356.445,25.879,-517.578,999.512,49.805,0
1579292103.646,-298.828,24.902,-305.664,999.512,59.570,0
1579292103.650,-294.434,26.855,-252.930,999.512,39.062,0
1579292103.654,-329.590,23.926,-328.613,999.512,10.742,0
1579292103.658,-314.453,21.973,-482.910,999.512,1.465,0
1579292103.662,-244.629,28.320,-790.039,999.512,-19.043,0
1579292103.665,-168.457,27.344,-566.406,999.512,48.340,0
1579292103.669,-128.418,27.832,-256.836,999.512,84.961,0
1579292103.673,-87.402,28.809,-329.102,999.512,11.230,0
1579292103.677,13.184,24.902,-290.527,999.512,57.129,0
1579292103.681,71.777,26.367,-434.082,999.512,30.273,0
1579292103.678,76.172,12.207,-457.031,999.512,-16.113,0
1579292103.682,86.426,10.254,-333.984,999.512,47.363,0
1579292103.686,104.980,31.250,-321.289,999.512,43.945,0
1579292103.690,110.840,41.992,-332.031,999.512,10.742,0
1579292103.694,75.195,38.574,-399.414,999.512,41.992,0
1579292103.698,34.668,48.340,-524.414,999.512,31.738,0
1579292103.702,31.250,54.199,-597.656,999.512,12.207,0
1579292103.705,80.566,39.062,-500.977,999.512,1.953,0
1579292103.709,131.348,28.320,-349.121,999.512,6.836,0
1579292103.713,127.441,28.320,-624.023,999.512,74.219,0
1579292103.717,173.340,32.227,-871.094,-996.582,36.621,0
1579292103.721,304.688,31.738,-540.527,962.402,10.254,0
1579292103.718,382.812,25.391,-387.207,-942.871,42.480,0
1579292103.722,395.508,25.391,-479.004,691.895,4.883,0
1579292103.726,437.500,35.156,-727.051,-210.449,28.320,0
1579292103.730,506.348,35.156,-765.137,-505.371,75.195,0
1579292103.734,501.953,28.809,-636.230,-754.395,103.027,0
1579292103.738,415.039,27.344,-837.891,-987.305,90.820,0
1579292103.742,316.406,21.973,-954.102,-960.938,41.016,0
1579292103.745,252.441,20.020,-919.434,-965.820,27.344,0
1579292103.749,206.543,26.855,-949.219,-969.238,57.129,0
1579292103.753,155.273,28.320,-832.520,-968.750,23.438,0
