timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579270909.894,42.480,37.109,44.922,40.527,-3.906,0
1579270909.898,41.504,36.133,46.875,44.434,-27.832,0
1579270909.902,38.086,33.203,43.457,45.898,-19.531,0
1579270909.906,42.480,31.738,40.039,47.852,16.113,0
1579270909.910,43.945,34.668,43.457,48.828,9.766,0
1579270909.914,42.969,35.156,44.922,52.734,-10.254,0
1579270909.918,45.410,35.156,41.504,60.547,-18.066,0
1579270909.921,44.922,33.691,39.062,55.176,-7.812,0
1579270909.925,42.480,29.785,36.133,46.875,-10.254,0
1579270909.929,45.410,33.203,39.062,49.316,-16.113,0
1579270909.933,46.875,34.180,41.992,49.316,-7.324,0
1579270909.937,41.992,32.227,41.992,49.316,19.043,0
1579270909.954,43.457,36.621,48.340,50.293,-12.695,0
1579270909.958,42.480,38.086,46.387,50.781,-39.062,0
1579270909.962,42.480,38.086,41.992,53.223,-12.207,0
1579270909.966,39.062,35.156,41.504,51.758,1.953,0
1579270909.970,39.551,35.156,41.504,48.828,2.441,0
1579270909.974,42.969,40.039,43.945,51.270,-25.879,0
1579270909.978,42.969,39.551,43.457,52.246,-61.523,0
1579270909.981,43.945,38.086,43.945,52.734,-19.043,0
1579270909.985,43.457,36.133,45.410,55.664,20.020,0
1579270909.989,45.898,34.668,43.945,49.316,6.836,0
1579270909.993,45.410,37.598,44.922,45.410,-22.461,0
1579270909.997,45.410,36.133,44.922,47.363,-5.859,0
1579270909.994,47.852,36.621,44.922,49.805,23.926,0
1579270909.998,44.922,39.062,43.945,49.316,-10.254,0
1579270910.002,45.898,40.039,42.969,49.805,-34.180,0
1579270910.006,45.410,39.062,47.852,49.805,-40.527,0
1579270910.010,43.945,38.086,43.945,46.387,-15.137,0
1579270910.014,47.852,40.527,42.480,43.945,10.254,0
1579270910.018,49.316,40.527,42.969,38.086,-20.996,0
1579270910.021,49.316,38.086,39.062,42.969,-11.230,0
1579270910.025,52.246,40.527,41.992,49.805,4.883,0
1579270910.029,50.781,41.504,44.922,43.945,-12.207,0
1579270910.033,48.828,38.574,43.457,43.457,-20.508,0
1579270910.037,48.828,38.574,43.457,48.828,-9.766,0
1579270910.034,46.387,36.133,42.480,47.852,-1.953,0
1579270910.038,49.316,37.598,41.992,51.270,4.883,0
1579270910.042,49.316,38.086,41.992,48.340,8.301,0
1579270910.046,45.898,33.691,38.574,46.875,16.113,0
1579270910.050,45.410,35.645,38.574,53.223,14.160,0
1579270910.054,44.434,37.598,38.086,50.293,5.371,0
1579270910.058,44.922,37.598,38.574,47.852,15.625,0
1579270910.061,44.922,37.109,42.480,44.434,7.812,0
1579270910.065,46.875,35.645,42.480,39.551,41.016,0
1579270910.069,46.387,36.133,41.504,43.457,54.199,0
1579270910.073,42.480,35.645,42.969,44.434,38.086,0
1579270910.077,45.898,36.621,45.410,45.898,22.949,0
1579270910.094,43.457,37.598,45.898,48.828,-0.977,0
1579270910.098,41.992,35.645,44.434,50.293,36.621,0
1579270910.102,46.875,35.645,45.410,48.828,34.180,0
1579270910.106,41.504,34.180,45.898,41.992,0.488,0
1579270910.110,40.527,31.250,44.434,40.527,30.273,0
1579270910.114,45.898,32.227,43.457,44.922,85.449,0
1579270910.118,47.363,31.738,41.504,44.434,101.562,0
1579270910.121,47.363,30.762,39.062,45.898,97.168,0
1579270910.125,48.828,30.273,40.039,44.922,92.285,0
1579270910.129,51.758,33.691,43.457,48.340,111.328,0
1579270910.133,56.152,38.086,43.945,50.293,91.797,0
1579270910.137,54.199,36.621,41.504,40.527,54.688,0
1579270910.134,48.828,32.715,41.992,41.992,67.383,0
1579270910.138,49.316,31.250,44.434,47.363,83.008,0
1579270910.142,43.945,30.273,41.504,44.922,93.750,0
1579270910.146,39.062,28.809,40.527,39.551,85.938,0
1579270910.150,34.668,27.832,41.504,36.621,73.730,0
1579270910.154,34.180,27.832,43.457,40.527,64.453,0
1579270910.158,35.645,26.855,41.992,40.527,83.496,0
1579270910.161,35.645,25.879,37.598,36.621,114.258,0
1579270910.165,36.621,27.832,42.969,39.551,96.680,0
1579270910.169,32.715,26.855,44.922,46.387,70.801,0
1579270910.173,30.762,24.414,40.039,52.734,87.402,0
1579270910.177,29.785,26.367,41.016,53.711,104.492,0
1579270910.194,27.344,27.832,43.457,52.734,125.977,0
1579270910.198,28.320,29.297,42.969,57.617,130.371,0
1579270910.202,28.320,33.203,41.504,62.012,95.215,0
1579270910.206,27.832,33.691,41.992,59.082,83.496,0
1579270910.210,32.227,32.227,43.945,59.082,61.035,0
1579270910.214,30.273,30.762,41.016,59.082,1.465,0
1579270910.218,28.320,31.738,42.480,60.059,-19.531,0
1579270910.221,31.250,33.691,45.410,58.105,-23.926,0
1579270910.225,29.785,31.250,41.992,51.270,-42.480,0
1579270910.229,35.156,30.762,43.945,51.270,-52.246,0
1579270910.233,40.039,28.809,43.945,55.176,-45.898,0
1579270910.237,41.504,29.785,43.457,60.547,-55.176,0
1579270910.234,42.480,32.227,46.387,65.918,-58.105,0
1579270910.238,42.480,30.273,45.410,63.477,-49.316,0
1579270910.242,44.922,28.809,43.457,61.523,-42.969,0
1579270910.246,49.316,30.273,41.992,62.988,-27.832,0
1579270910.250,49.805,33.691,42.480,57.617,-51.758,0
1579270910.254,48.828,31.738,43.945,55.176,-79.102,0
1579270910.258,45.410,27.344,45.410,54.688,-104.980,0
1579270910.261,36.133,26.367,41.992,53.223,-121.582,0
1579270910.265,29.297,25.391,39.062,54.688,-104.004,0
1579270910.269,31.738,26.367,41.016,56.641,-92.773,0
1579270910.273,31.738,26.855,42.480,49.316,-111.328,0
1579270910.277,32.715,26.855,38.086,42.969,-101.074,0
1579270910.274,36.133,27.344,35.156,45.898,-83.984,0
1579270910.278,34.668,25.391,36.621,45.410,-68.359,0
1579270910.282,34.180,26.367,38.574,48.340,-65.430,0
1579270910.286,35.156,29.297,40.039,52.246,-67.383,0
1579270910.290,33.691,28.809,39.551,55.664,-38.086,0
1579270910.294,30.762,26.855,40.527,59.570,-39.551,0
1579270910.298,28.320,25.879,40.039,55.664,-69.824,0
1579270910.301,31.250,28.809,40.039,58.594,-62.012,0
1579270910.305,35.645,31.250,46.875,62.012,-72.754,0
1579270910.309,36.621,27.344,46.387,56.641,-120.117,0
1579270910.313,32.715,21.484,38.086,51.758,-109.863,0
1579270910.317,32.715,22.461,35.645,50.781,-90.332,0
1579270910.334,32.715,23.438,38.086,53.223,-80.078,0
1579270910.338,32.715,23.438,42.480,51.758,-102.539,0
1579270910.342,35.156,24.414,41.992,52.246,-132.812,0
1579270910.346,36.133,27.832,40.527,58.105,-134.277,0
1579270910.350,36.621,29.785,43.945,55.664,-136.230,0
1579270910.354,42.480,29.785,42.969,49.316,-133.789,0
1579270910.358,45.410,33.203,43.457,52.246,-136.719,0
1579270910.361,44.922,33.203,44.434,46.875,-143.555,0
1579270910.365,48.340,31.738,41.016,44.434,-144.531,0
1579270910.369,52.246,33.691,41.504,52.734,-118.652,0
1579270910.373,48.340,34.180,41.504,51.270,-91.797,0
1579270910.377,49.805,38.086,43.457,50.293,-114.258,0
1579270910.374,53.223,39.062,41.016,53.223,-131.348,0
1579270910.378,48.340,36.133,40.039,50.781,-88.867,0
1579270910.382,48.340,37.598,42.480,51.270,-64.453,0
1579270910.386,47.852,38.574,41.016,52.246,-61.035,0
1579270910.390,43.457,42.969,44.922,50.781,-52.246,0
1579270910.394,41.992,43.457,42.969,53.711,-40.039,0
1579270910.398,41.992,38.086,42.969,56.641,-11.719,0
1579270910.401,42.480,39.062,43.945,54.688,2.441,0
1579270910.405,38.574,39.062,39.551,48.828,23.926,0
1579270910.409,38.574,39.551,43.945,55.664,2.930,0
1579270910.413,39.062,40.527,46.387,57.617,-35.156,0
1579270910.417,37.109,38.086,43.457,46.875,-13.672,0
1579270910.414,36.621,37.109,44.434,47.363,-18.066,0
1579270910.418,32.715,37.598,44.922,48.828,-46.875,0
1579270910.422,35.645,38.086,44.922,46.875,-34.668,0
1579270910.426,36.133,37.109,45.898,42.480,-48.340,0
1579270910.430,35.645,33.203,43.945,38.574,-54.688,0
1579270910.434,40.527,34.180,42.480,38.574,-70.801,0
1579270910.438,37.598,33.203,41.016,34.180,-92.773,0
1579270910.441,35.645,32.227,42.480,37.109,-69.336,0
1579270910.445,40.039,35.645,43.945,35.645,-96.191,0
1579270910.449,41.992,33.691,39.551,29.785,-113.770,0
1579270910.453,35.156,31.250,39.062,38.574,-81.543,0
1579270910.457,32.227,34.180,41.016,40.039,-94.238,0
1579270910.474,39.062,38.574,41.016,42.969,-97.656,0
1579270910.478,48.340,40.527,42.480,52.734,-117.188,0
1579270910.482,44.434,36.621,42.969,53.223,-94.238,0
1579270910.486,41.016,34.668,39.551,55.176,-74.707,0
1579270910.490,42.969,34.180,35.645,54.199,-93.750,0
1579270910.494,44.922,33.203,37.598,57.617,-95.703,0
1579270910.498,48.340,35.156,44.922,57.617,-117.188,0
1579270910.501,42.480,34.180,44.922,48.340,-113.770,0
1579270910.505,36.133,31.250,41.016,49.316,-53.711,0
1579270910.509,36.621,30.762,41.992,48.828,-20.996,0
1579270910.513,34.668,31.738,39.551,41.504,-34.180,0
1579270910.517,32.227,34.180,40.527,41.504,-9.766,0
1579270910.514,34.668,34.668,41.992,42.969,16.113,0
1579270910.518,36.621,35.156,42.969,39.551,18.555,0
1579270910.522,39.062,34.180,43.945,33.203,9.766,0
1579270910.526,34.668,32.715,42.969,30.273,-7.324,0
1579270910.530,33.203,34.180,41.016,38.574,13.184,0
1579270910.534,39.062,33.203,37.109,37.598,39.062,0
1579270910.538,40.039,32.715,35.645,31.738,36.621,0
1579270910.541,36.133,33.691,34.668,32.715,23.926,0
1579270910.545,31.738,31.738,32.715,31.738,46.875,0
1579270910.549,35.156,35.645,37.109,38.086,41.992,0
1579270910.553,39.551,40.039,41.992,35.645,14.160,0
1579270910.557,42.969,36.133,37.598,35.156,23.926,0
1579270910.554,44.434,36.133,32.715,47.363,43.945,0
1579270910.558,41.992,37.109,32.227,48.828,54.199,0
1579270910.562,36.133,38.086,35.645,46.875,-3.418,0
1579270910.566,31.738,37.598,36.621,45.410,3.906,0
1579270910.570,34.180,37.598,33.203,51.758,57.617,0
1579270910.574,29.785,40.527,34.668,51.270,17.578,0
1579270910.578,30.273,40.039,37.598,47.852,-11.230,0
1579270910.581,35.156,40.039,40.039,47.852,-20.508,0
1579270910.585,30.273,40.527,41.016,34.180,-45.410,0
1579270910.589,25.391,36.133,36.621,33.203,-31.250,0
1579270910.593,24.902,35.645,36.133,39.062,-10.742,0
1579270910.597,23.926,38.086,36.621,35.156,-76.172,0
1579270910.614,22.949,39.062,37.598,37.109,-113.281,0
1579270910.618,20.996,41.016,39.062,34.668,-97.656,0
1579270910.622,19.043,37.109,41.016,24.902,-104.980,0
1579270910.626,16.113,33.203,42.480,21.484,-155.762,0
1579270910.630,10.254,34.180,37.109,24.414,-172.852,0
1579270910.634,12.695,34.668,36.621,30.273,-148.926,0
1579270910.638,13.184,35.156,39.062,29.785,-171.387,0
1579270910.641,16.113,34.180,35.156,24.902,-178.223,0
1579270910.645,15.137,32.227,35.156,18.555,-184.570,0
1579270910.649,13.184,32.227,35.156,22.461,-210.938,0
1579270910.653,14.648,32.715,30.273,25.879,-203.613,0
1579270910.657,6.348,30.762,26.855,22.461,-208.984,0
1579270910.654,5.371,26.367,25.391,22.949,-230.469,0
1579270910.658,11.230,23.438,28.320,23.438,-246.094,0
1579270910.662,10.254,22.461,28.320,24.902,-227.051,0
1579270910.666,4.883,23.438,23.438,25.391,-229.004,0
1579270910.670,9.766,27.832,25.391,21.484,-301.270,0
1579270910.674,7.812,29.297,25.879,21.973,-327.637,0
1579270910.678,-4.395,26.855,22.949,22.949,-309.082,0
1579270910.681,0.977,27.832,20.020,23.926,-335.938,0
1579270910.685,0.488,23.926,13.672,10.254,-372.559,0
1579270910.689,-2.930,23.438,15.137,5.371,-391.113,0
1579270910.693,2.441,24.902,14.648,12.695,-416.504,0
1579270910.697,-4.883,19.531,12.695,5.859,-430.664,0
1579270910.694,-10.254,18.555,14.648,7.324,-438.477,0
1579270910.698,-8.789,17.578,16.602,2.930,-412.109,0
1579270910.702,-4.395,18.066,19.043,5.371,-444.824,0
1579270910.706,-4.883,20.020,15.625,13.672,-455.078,0
1579270910.710,-7.324,20.020,17.090,14.160,-425.293,0
1579270910.714,-7.324,21.973,20.996,11.719,-446.777,0
1579270910.718,-11.230,18.555,17.578,10.254,-466.797,0
1579270910.721,-10.742,15.137,19.531,10.742,-480.469,0
1579270910.725,-9.766,18.066,21.973,10.254,-497.070,0
1579270910.729,-14.160,17.090,16.602,9.766,-494.141,0
1579270910.733,-12.695,16.602,17.578,6.836,-476.562,0
1579270910.737,-7.324,17.090,19.043,11.719,-462.891,0
1579270910.754,-6.836,20.508,22.461,15.137,-477.051,0
1579270910.758,-3.418,21.973,22.949,16.113,-489.746,0
1579270910.762,1.953,20.996,21.973,25.879,-489.258,0
