timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1572309688.768,-3.418,37.109,110.840,-15.137,42.480,0
1572309688.772,26.855,33.203,107.910,28.809,73.242,0
1572309688.776,58.105,33.691,112.305,97.168,41.016,0
1572309688.780,7.324,33.203,111.328,54.688,29.785,0
1572309688.784,-15.137,32.227,107.910,-16.602,37.109,0
1572309688.788,11.719,34.668,107.422,2.930,34.668,0
1572309688.792,61.523,36.621,109.863,75.195,29.297,0
1572309688.795,33.203,36.621,113.770,58.105,-4.883,0
1572309688.799,-2.930,39.062,112.305,-20.508,13.672,0
1572309688.803,18.066,41.016,111.328,-27.344,26.855,0
1572309688.807,67.871,40.527,112.305,47.363,4.395,0
1572309688.811,54.688,41.504,112.305,66.406,20.996,0
1572309688.828,10.742,44.434,110.352,-7.324,43.945,0
1572309688.832,14.160,45.898,108.887,-42.480,53.711,0
1572309688.836,49.316,45.898,108.398,26.367,104.980,0
1572309688.840,61.523,47.363,106.934,81.055,103.027,0
1572309688.844,8.789,45.898,106.934,24.414,42.969,0
1572309688.848,-0.488,41.504,106.445,-27.344,22.949,0
1572309688.852,28.320,42.969,108.887,14.160,25.879,0
1572309688.855,72.754,42.480,108.887,85.938,5.371,0
1572309688.859,37.598,39.551,104.980,57.617,-13.184,0
1572309688.863,-1.465,38.086,104.492,-14.160,38.574,0
1572309688.867,14.648,36.621,105.469,0.000,44.922,0
1572309688.871,66.406,38.086,103.516,75.684,10.742,0
1572309688.868,29.785,36.621,102.539,60.547,-9.766,0
1572309688.872,-17.090,35.156,103.027,-12.207,-4.395,0
1572309688.876,-3.906,33.203,102.051,-25.391,47.852,0
1572309688.880,42.969,30.762,98.633,39.551,26.855,0
1572309688.884,37.109,30.762,97.168,63.477,17.578,0
1572309688.888,-14.648,34.180,98.145,-7.812,84.473,0
1572309688.892,-6.836,34.668,96.680,-48.340,67.871,0
1572309688.895,33.203,32.227,98.633,8.301,41.992,0
1572309688.899,55.664,32.227,99.609,62.500,61.035,0
1572309688.903,9.277,34.668,99.121,7.812,20.020,0
1572309688.907,-1.465,39.551,101.562,-53.223,-25.391,0
1572309688.911,30.273,39.551,102.051,-16.602,2.930,0
1572309688.908,74.707,38.574,97.656,66.895,-15.625,0
1572309688.912,40.527,39.551,96.191,45.410,-0.488,0
1572309688.916,11.719,39.062,93.750,-29.785,31.738,0
1572309688.920,27.832,39.551,88.867,-20.020,4.395,0
1572309688.924,81.055,43.457,89.844,62.500,39.062,0
1572309688.928,73.730,42.969,87.891,78.613,47.852,0
1572309688.932,15.137,41.016,90.332,-7.324,17.090,0
1572309688.935,-0.488,41.504,93.262,-47.363,19.531,0
1572309688.939,42.969,41.016,91.797,22.949,32.227,0
1572309688.943,46.875,38.574,89.355,59.570,27.344,0
1572309688.947,-1.953,37.598,87.891,8.789,-8.301,0
1572309688.951,-2.930,34.180,89.844,-28.809,16.113,0
1572309688.968,29.297,28.320,92.285,27.344,26.855,0
1572309688.972,56.152,24.414,90.820,96.191,-0.977,0
1572309688.976,12.695,26.367,86.914,49.316,33.203,0
1572309688.980,-1.953,29.785,89.844,-11.719,71.289,0
1572309688.984,23.438,28.809,93.750,15.625,48.340,0
1572309688.988,64.941,23.438,93.750,86.426,72.754,0
1572309688.992,27.832,20.508,91.309,56.152,68.359,0
1572309688.995,-0.488,18.555,89.355,-28.320,30.762,0
1572309688.999,20.020,8.301,85.938,-23.438,53.223,0
1572309689.003,62.988,-1.953,82.031,50.293,50.781,0
1572309689.007,47.852,-4.883,81.055,59.082,27.832,0
1572309689.011,5.371,-7.812,78.613,-10.742,37.598,0
1572309689.008,15.137,-14.648,80.566,-36.133,5.859,0
1572309689.012,58.105,-19.531,81.055,30.762,-31.250,0
1572309689.016,69.824,-21.973,82.520,69.824,-5.859,0
1572309689.020,26.367,-25.879,84.473,6.348,43.945,0
1572309689.024,16.113,-30.762,79.590,-41.016,85.938,0
1572309689.028,38.086,-37.109,76.172,5.371,45.410,0
1572309689.032,64.941,-39.062,76.660,77.148,23.438,0
1572309689.035,18.066,-38.086,76.172,29.785,40.527,0
1572309689.039,-6.348,-37.598,74.219,-40.527,53.711,0
1572309689.043,9.277,-38.086,77.637,-13.184,31.738,0
1572309689.047,51.270,-38.086,78.613,53.711,-17.578,0
1572309689.051,22.461,-35.645,79.590,42.969,27.344,0
1572309689.088,-16.602,-34.668,83.008,-26.855,37.109,0
1572309689.092,-3.906,-36.133,81.543,-36.621,-23.438,0
1572309689.096,42.480,-36.133,77.637,41.992,-37.109,0
1572309689.100,37.109,-35.156,76.660,68.848,72.754,0
1572309689.104,-12.695,-32.227,74.219,-2.441,51.270,0
1572309689.108,-14.160,-30.762,72.266,-38.574,20.996,0
1572309689.112,27.832,-29.785,74.707,21.484,-1.953,0
1572309689.115,45.410,-22.461,75.195,71.777,-39.551,0
1572309689.119,-4.395,-16.602,74.707,3.906,36.133,0
1572309689.123,-13.672,-14.160,76.660,-55.176,58.105,0
1572309689.127,11.719,-15.137,77.148,-11.719,30.273,0
1572309689.131,52.246,-9.766,75.195,60.059,59.082,0
1572309689.091,16.113,-3.906,77.148,31.250,71.777,0
1572309689.095,-10.254,-3.418,78.125,-40.039,13.184,0
1572309689.099,11.230,-1.953,74.219,-20.020,38.574,0
1572309689.103,58.105,1.465,73.242,57.617,39.062,0
1572309689.107,31.738,4.395,75.195,45.410,-2.930,0
1572309689.111,-17.090,6.836,72.266,-35.156,52.734,0
1572309689.115,-9.766,8.789,70.312,-55.176,17.578,0
1572309689.118,41.016,10.742,72.266,17.578,-39.062,0
1572309689.122,45.898,14.160,73.730,51.270,17.090,0
1572309689.126,-2.441,17.090,75.684,-18.555,42.480,0
1572309689.130,-8.789,20.508,75.195,-55.176,21.484,0
1572309689.134,28.320,22.461,70.801,7.812,33.203,0
1572309689.148,55.176,20.996,70.312,73.242,17.090,0
1572309689.152,4.395,19.531,74.219,21.973,29.297,0
1572309689.156,-9.766,19.531,74.707,-38.574,58.105,0
1572309689.160,13.184,20.020,75.684,2.930,42.480,0
1572309689.164,52.246,21.484,77.148,75.195,51.270,0
1572309689.168,14.648,22.949,78.125,41.992,37.109,0
1572309689.172,-17.578,25.391,79.102,-34.180,24.902,0
1572309689.175,3.418,25.879,78.613,-23.438,6.836,0
1572309689.179,54.688,25.391,79.590,59.570,-4.883,0
1572309689.183,37.109,25.879,80.078,59.570,11.719,0
1572309689.187,-7.324,25.391,81.543,-18.555,30.273,0
1572309689.191,7.324,25.879,83.496,-36.133,40.039,0
1572309689.188,51.270,28.320,82.520,39.551,20.508,0
1572309689.192,48.828,31.250,83.008,80.566,21.484,0
1572309689.196,-1.953,34.180,84.473,15.137,90.820,0
1572309689.200,-1.953,39.062,82.520,-30.762,76.172,0
1572309689.204,38.086,40.039,80.078,11.719,39.551,0
1572309689.208,67.383,39.551,79.102,70.312,81.055,0
1572309689.212,18.066,42.480,76.660,22.461,29.297,0
1572309689.215,3.418,45.410,73.242,-42.480,16.602,0
1572309689.219,27.832,47.852,71.777,-11.719,47.852,0
1572309689.223,69.336,44.922,71.289,59.082,6.348,0
1572309689.227,41.016,44.922,69.824,38.574,35.156,0
1572309689.231,2.930,48.340,72.266,-28.320,118.652,0
1572309689.248,9.766,50.293,69.336,-27.832,81.543,0
1572309689.252,53.711,49.316,67.383,46.875,51.758,0
1572309689.256,33.691,48.828,71.777,61.035,62.988,0
1572309689.260,-13.672,49.805,72.266,-11.719,81.055,0
1572309689.264,-3.418,49.805,71.289,-38.086,86.426,0
1572309689.268,37.598,50.293,72.266,31.738,57.617,0
1572309689.272,44.922,48.340,72.266,69.824,53.223,0
1572309689.275,-6.836,44.922,72.266,3.906,0.000,0
1572309689.279,-7.812,43.457,72.266,-36.133,-20.996,0
1572309689.283,28.320,45.410,72.754,20.996,-12.695,0
1572309689.287,54.199,46.875,77.148,91.309,52.246,0
1572309689.291,4.883,49.316,79.102,47.363,45.898,0
1572309689.288,-17.090,51.758,78.613,-21.973,-10.742,0
1572309689.292,7.324,50.781,78.613,-2.441,-0.488,0
1572309689.296,51.758,46.387,80.078,73.242,66.895,0
1572309689.300,16.113,46.387,80.566,62.500,88.379,0
1572309689.304,-19.043,48.340,77.637,-13.672,35.645,0
