timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583425165.780,33.203,33.203,29.785,26.367,83.984,0
1583425165.784,15.625,33.691,27.344,16.602,31.250,0
1583425165.788,14.648,34.668,25.391,12.207,7.324,0
1583425165.792,21.484,33.203,26.367,13.672,12.695,0
1583425165.796,20.508,34.668,29.785,15.137,-33.691,0
1583425165.800,23.438,36.133,33.691,15.137,-24.414,0
1583425165.804,24.902,35.645,32.715,18.066,-6.348,0
1583425165.807,26.367,34.668,31.250,21.484,26.855,0
1583425165.811,26.855,33.203,34.180,21.484,73.730,0
1583425165.815,29.785,32.715,31.738,22.461,64.453,0
1583425165.819,33.203,31.250,28.809,26.855,52.246,0
1583425165.823,33.203,29.785,29.785,29.785,23.926,0
1583425165.840,38.086,30.762,30.762,32.715,68.359,0
1583425165.844,39.062,32.227,30.273,29.785,71.777,0
1583425165.848,38.086,34.668,29.297,27.344,-25.879,0
1583425165.852,35.156,34.668,31.250,23.438,-17.578,0
1583425165.856,35.645,37.598,30.273,21.484,18.555,0
1583425165.860,36.133,37.109,27.344,23.438,57.617,0
1583425165.864,31.738,36.133,30.762,20.020,48.828,0
1583425165.867,34.668,39.551,33.203,21.973,33.691,0
1583425165.871,40.527,41.016,34.668,26.855,43.945,0
1583425165.875,32.715,39.062,34.180,28.320,84.961,0
1583425165.879,19.531,37.109,33.203,27.832,86.914,0
1583425165.883,26.367,36.133,37.109,31.738,51.758,0
1583425165.880,32.227,36.133,36.133,35.156,69.336,0
1583425165.884,26.855,32.227,34.668,29.785,20.508,0
1583425165.888,24.414,30.273,35.645,25.391,-11.719,0
1583425165.892,28.320,35.156,37.598,30.273,29.785,0
1583425165.896,26.367,33.203,37.598,31.738,10.254,0
1583425165.900,24.902,31.250,36.621,27.832,-25.879,0
1583425165.904,31.250,36.621,34.180,26.855,15.137,0
1583425165.907,36.133,39.062,32.227,27.832,19.531,0
1583425165.911,40.527,40.527,32.715,28.809,14.648,0
1583425165.915,42.480,39.062,31.738,25.391,70.801,0
1583425165.919,38.574,35.645,31.250,22.461,72.266,0
1583425165.923,39.062,39.062,30.762,27.832,83.008,0
1583425165.920,38.086,38.086,31.738,27.344,48.828,0
1583425165.924,35.156,32.715,33.691,24.902,34.180,0
1583425165.928,36.133,32.715,29.785,24.902,80.566,0
1583425165.932,35.156,35.156,27.832,16.602,60.059,0
1583425165.936,36.133,37.598,29.785,15.625,3.906,0
1583425165.940,36.621,39.551,31.250,19.531,25.391,0
1583425165.944,37.598,40.039,30.273,16.602,89.355,0
1583425165.947,39.062,39.551,27.832,18.066,77.637,0
1583425165.951,38.086,40.039,32.227,20.996,23.438,0
1583425165.955,32.715,36.133,38.086,22.461,16.113,0
1583425165.959,28.320,33.203,39.062,25.391,38.086,0
1583425165.963,27.832,33.691,36.621,25.391,8.301,0
1583425165.979,27.344,34.180,36.621,29.785,23.438,0
1583425165.983,28.320,37.598,40.039,37.598,109.375,0
1583425165.987,26.367,33.203,37.109,36.133,87.402,0
1583425165.991,22.949,33.203,35.156,30.273,19.043,0
1583425165.995,20.996,33.691,35.645,27.344,36.133,0
1583425165.999,26.855,35.645,34.668,29.297,20.508,0
1583425166.003,23.438,37.109,33.203,26.367,-7.812,0
1583425166.006,12.207,34.668,29.297,21.484,44.434,0
1583425166.010,18.555,34.668,27.832,25.879,54.199,0
1583425166.014,21.484,34.668,24.902,26.367,-4.883,0
1583425166.018,21.484,34.668,20.508,23.926,20.020,0
1583425166.022,20.508,33.691,20.996,15.137,90.820,0
1583425166.020,15.625,33.691,21.973,3.418,50.781,0
1583425166.024,15.625,32.227,23.926,3.906,37.109,0
1583425166.028,17.578,32.715,27.344,7.324,47.363,0
1583425166.032,16.602,32.715,27.344,6.836,33.691,0
1583425166.036,13.672,32.227,29.297,5.859,54.688,0
