timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583425315.620,20.996,35.156,33.203,20.020,12.695,0
1583425315.624,21.484,36.133,34.668,16.602,46.387,0
1583425315.628,22.949,34.668,34.668,18.066,67.871,0
1583425315.632,29.785,37.109,33.203,19.531,58.105,0
1583425315.636,34.180,41.504,33.691,19.531,48.828,0
1583425315.640,39.062,43.945,31.738,20.508,57.617,0
1583425315.644,44.922,43.457,32.715,25.879,52.734,0
1583425315.647,40.527,41.504,33.691,27.832,36.621,0
1583425315.651,49.316,41.016,33.203,33.203,67.871,0
1583425315.655,55.176,38.086,37.109,39.062,46.387,0
1583425315.659,54.199,39.062,40.039,36.133,20.020,0
1583425315.663,59.082,41.992,44.434,38.574,25.879,0
1583425315.680,55.664,38.574,46.387,38.086,-36.621,0
1583425315.684,46.875,36.621,44.922,24.902,17.090,0
1583425315.688,43.945,36.133,44.434,25.879,55.176,0
1583425315.692,44.434,38.574,41.504,26.855,44.922,0
1583425315.696,51.758,40.039,39.062,20.996,106.934,0
1583425315.700,55.664,40.039,40.527,19.043,79.102,0
1583425315.704,50.293,43.457,28.809,16.602,22.461,0
1583425315.707,46.387,42.480,25.391,18.555,9.277,0
1583425315.711,37.598,39.062,39.551,20.020,68.359,0
1583425315.715,30.762,39.062,37.109,21.484,36.621,0
1583425315.719,22.461,36.133,32.227,20.508,-73.242,0
1583425315.723,16.602,35.645,32.227,15.137,-80.078,0
1583425315.720,20.508,34.668,34.180,21.973,24.902,0
1583425315.724,22.949,32.715,33.203,26.855,95.215,0
1583425315.728,22.461,31.738,29.785,26.855,64.453,0
1583425315.732,18.066,33.691,28.809,27.832,60.059,0
1583425315.736,34.180,36.621,32.227,32.715,73.242,0
1583425315.740,47.363,39.062,33.691,34.668,56.641,0
1583425315.744,45.898,40.527,31.738,32.227,71.289,0
1583425315.747,42.969,38.574,30.762,24.902,60.059,0
1583425315.751,50.293,36.133,27.832,27.344,19.043,0
1583425315.755,58.594,37.598,27.832,39.062,60.059,0
1583425315.759,54.688,39.062,30.762,36.133,10.742,0
1583425315.763,56.152,37.598,25.391,29.297,-57.617,0
1583425315.760,51.758,38.086,27.832,34.668,28.320,0
1583425315.764,55.664,40.039,38.574,46.387,66.895,0
1583425315.768,61.035,41.016,41.504,43.945,-23.926,0
1583425315.772,55.176,41.016,40.039,38.574,-9.277,0
1583425315.776,48.828,41.016,36.133,36.621,50.293,0
1583425315.780,48.828,41.992,31.250,35.645,-2.441,0
1583425315.784,40.527,40.527,31.250,28.320,-23.438,0
1583425315.787,35.645,38.574,32.715,20.996,2.441,0
1583425315.791,37.598,36.621,34.180,23.438,-22.949,0
1583425315.795,29.785,32.715,30.762,24.414,24.902,0
1583425315.799,30.762,29.297,27.344,29.785,96.680,0
1583425315.803,26.855,30.273,31.738,17.090,33.203,0
