timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583341432.207,35.645,31.250,34.668,23.438,-55.664,0
1583341432.211,37.598,31.738,42.480,38.086,-4.395,0
1583341432.215,68.359,38.086,43.457,47.852,4.395,0
1583341432.219,46.387,37.109,45.898,38.086,-8.301,0
1583341432.223,22.461,31.250,41.504,48.340,17.578,0
1583341432.227,41.992,34.668,39.062,58.105,65.918,0
1583341432.231,49.316,37.109,37.598,53.711,50.293,0
1583341432.234,37.598,41.016,29.297,54.688,39.551,0
1583341432.238,27.344,36.621,35.156,50.293,74.707,0
1583341432.242,32.227,28.809,43.457,35.156,35.645,0
1583341432.246,54.199,33.691,35.156,43.457,19.531,0
1583341432.250,46.875,34.180,30.762,55.664,-19.531,0
1583341432.248,29.297,34.668,34.668,43.945,-34.180,0
1583341432.252,47.363,34.180,39.551,48.340,-4.395,0
1583341432.256,52.734,38.574,34.180,40.527,32.715,0
1583341432.260,41.504,39.062,30.762,34.180,37.598,0
1583341432.264,29.785,34.180,35.156,55.176,14.160,0
1583341432.268,41.016,39.551,36.621,43.945,35.645,0
1583341432.272,70.312,38.574,35.645,41.504,61.035,0
1583341432.275,47.363,35.156,35.156,59.082,64.453,0
1583341432.279,15.625,33.691,38.086,52.246,67.383,0
1583341432.283,34.668,31.250,36.133,52.246,67.871,0
1583341432.287,59.570,34.180,34.180,39.551,23.438,0
1583341432.291,55.176,40.039,33.691,29.785,19.043,0
1583341432.307,25.391,37.598,38.574,43.945,49.805,0
1583341432.311,11.719,24.414,37.109,48.340,25.391,0
1583341432.315,35.645,28.320,27.344,50.293,47.852,0
1583341432.319,64.453,35.156,32.715,46.875,36.621,0
1583341432.323,43.457,33.691,38.086,33.691,6.348,0
1583341432.327,24.902,35.156,31.738,39.551,13.184,0
1583341432.331,30.762,30.762,30.762,48.340,58.594,0
1583341432.334,21.973,35.645,32.715,42.969,84.961,0
1583341432.338,20.996,41.992,32.715,43.945,1.465,0
1583341432.342,21.484,27.832,39.551,43.945,6.348,0
1583341432.346,27.344,28.320,34.668,38.086,30.273,0
1583341432.350,31.250,32.715,30.762,47.852,16.602,0
1583341432.348,21.484,30.273,35.645,47.852,22.461,0
1583341432.352,7.812,32.715,37.109,37.598,26.855,0
1583341432.356,20.508,33.203,35.156,30.762,-23.438,0
1583341432.360,33.203,28.320,35.156,33.203,4.883,0
1583341432.364,28.320,28.809,32.715,34.668,48.340,0
1583341432.368,34.180,30.273,32.227,26.855,64.941,0
1583341432.372,23.438,29.785,33.203,38.086,83.496,0
1583341432.375,23.438,28.809,33.691,43.457,24.414,0
1583341432.379,44.922,29.297,32.227,30.762,24.902,0
1583341432.383,47.852,31.250,31.738,27.832,65.430,0
1583341432.387,30.762,32.715,32.227,29.785,52.734,0
1583341432.391,27.832,32.715,33.691,40.039,33.691,0
1583341432.407,39.062,31.738,39.062,41.504,-11.230,0
1583341432.411,53.223,33.691,37.598,55.664,80.078,0
1583341432.415,48.828,37.598,34.668,56.152,108.398,0
1583341432.419,34.180,40.039,34.668,44.434,7.812,0
1583341432.423,48.828,38.574,32.715,36.621,22.461,0
