timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1583424140.797,-100.586,-223.145,29.297,30.273,60.059,0
1583424140.801,-67.383,-289.551,26.367,43.457,50.293,0
1583424140.805,-76.172,-377.930,17.578,46.875,40.527,0
1583424140.809,-106.445,-357.910,15.625,22.461,42.480,0
1583424140.813,-125.000,-303.223,20.508,31.738,7.812,0
1583424140.817,-95.703,-442.871,13.672,48.828,51.270,0
1583424140.821,-26.855,-455.566,17.578,28.809,55.176,0
1583424140.824,-47.363,-520.508,7.812,30.273,26.855,0
1583424140.828,-89.844,-805.664,5.371,41.016,73.242,0
1583424140.832,41.992,-596.191,22.949,41.992,55.664,0
1583424140.836,153.320,-368.652,22.949,45.898,19.531,0
1583424140.840,156.250,-295.410,20.020,26.367,63.477,0
1583424140.857,95.215,-331.543,14.160,20.508,103.516,0
1583424140.861,100.098,-419.922,11.719,41.992,67.871,0
1583424140.865,159.668,-298.828,14.160,43.457,37.109,0
1583424140.869,136.230,-244.141,13.184,33.691,82.520,0
1583424140.873,48.828,-395.020,10.742,27.344,53.711,0
1583424140.877,-20.020,-601.562,7.324,25.879,16.602,0
1583424140.881,-34.180,-861.328,14.160,26.855,56.152,0
1583424140.884,20.020,-708.008,30.273,35.645,110.352,0
1583424140.888,14.648,-453.125,30.273,32.227,100.098,0
1583424140.892,-46.875,-576.660,20.996,21.484,-11.230,0
1583424140.896,-27.344,-658.203,17.090,30.762,-44.434,0
1583424140.900,4.395,-692.871,18.555,38.574,30.273,0
1583424140.897,3.418,-610.840,26.367,37.598,77.148,0
1583424140.901,-62.012,-623.535,18.555,24.902,69.824,0
1583424140.905,-50.781,-752.441,12.207,24.414,-30.273,0
1583424140.909,10.254,-741.211,16.113,37.598,-20.508,0
1583424140.913,-13.672,-799.805,18.066,47.852,27.832,0
1583424140.917,-72.754,-872.559,24.414,39.062,72.754,0
1583424140.921,-91.309,-887.207,20.996,36.133,101.074,0
1583424140.924,-62.012,-970.215,20.996,39.551,-7.324,0
1583424140.928,-38.574,-877.441,31.250,40.527,-12.207,0
1583424140.932,-168.945,-882.812,19.043,25.879,21.484,0
1583424140.936,-244.629,-945.801,18.555,15.137,24.902,0
1583424140.940,-159.180,-797.363,33.691,35.645,45.898,0
1583424140.937,-173.828,-784.180,28.320,47.363,9.277,0
1583424140.941,-236.328,-795.898,26.367,24.902,0.977,0
1583424140.945,-317.383,-892.578,22.949,9.766,18.066,0
1583424140.949,-308.594,-892.578,22.949,31.250,49.805,0
1583424140.953,-275.879,-747.070,26.367,48.340,110.840,0
1583424140.957,-372.070,-879.883,20.508,42.969,38.574,0
1583424140.961,-462.402,-980.957,23.438,35.645,-18.555,0
1583424140.964,-478.027,-965.820,18.555,40.039,22.461,0
1583424140.968,-441.895,-966.309,17.578,40.039,9.766,0
1583424140.972,-393.066,-876.953,31.250,23.926,7.324,0
1583424140.976,-464.844,-939.941,17.090,22.949,-23.438,0
1583424140.980,-479.980,-877.930,20.020,19.531,-6.348,0
1583424140.997,-494.629,-812.500,20.020,31.250,56.641,0
1583424141.001,-551.758,-867.676,7.324,31.738,44.434,0
1583424141.005,-582.520,-806.152,6.836,12.207,27.344,0
1583424141.009,-610.352,-794.922,9.277,38.574,59.570,0
1583424141.013,-566.895,-778.320,18.555,45.410,73.242,0
1583424141.017,-597.168,-919.922,8.789,19.043,42.969,0
1583424141.021,-661.621,-966.797,4.395,15.137,33.691,0
1583424141.024,-663.086,-842.285,20.020,18.066,29.297,0
1583424141.028,-659.668,-778.320,18.066,16.602,32.227,0
1583424141.032,-650.391,-747.559,17.578,20.996,37.109,0
1583424141.036,-745.605,-815.918,10.742,1.953,69.336,0
1583424141.040,-887.207,-951.172,6.348,-16.113,88.867,0
1583424141.037,-936.523,-950.684,15.137,-0.488,83.984,0
1583424141.041,-964.355,-961.426,9.766,8.789,43.457,0
1583424141.045,-969.238,-971.680,12.695,3.906,-0.977,0
1583424141.049,-967.285,-967.285,5.371,7.324,-8.789,0
1583424141.053,-969.238,-968.750,0.977,18.066,-22.461,0
1583424141.057,-964.355,-968.750,12.695,10.742,-16.113,0
1583424141.061,-971.191,-968.262,12.695,14.160,-6.836,0
1583424141.064,-941.406,-968.262,16.602,36.133,4.395,0
1583424141.068,-782.715,-968.750,22.949,41.504,13.184,0
1583424141.072,-638.672,-968.262,11.719,33.203,8.789,0
1583424141.076,-451.660,-968.750,17.090,20.996,-8.789,0
1583424141.080,-242.676,-968.750,32.227,17.090,32.227,0
1583424141.078,-116.699,-968.750,20.996,3.418,2.441,0
1583424141.082,71.289,-968.262,19.531,13.672,6.836,0
1583424141.086,233.398,-968.262,16.113,8.789,59.570,0
1583424141.090,339.355,-968.750,9.766,10.254,74.219,0
1583424141.094,415.039,-968.750,13.672,29.785,28.809,0
1583424141.098,519.043,-968.750,17.090,18.555,10.254,0
