timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1580492911.379,19.043,33.203,28.320,15.625,-7.324,0
1580492911.383,11.230,32.227,32.227,19.043,39.551,0
1580492911.387,20.020,27.832,30.273,19.531,62.500,0
1580492911.391,35.156,29.785,29.785,19.043,33.691,0
1580492911.395,34.180,33.203,34.668,23.438,50.781,0
1580492911.399,17.578,32.715,38.574,26.855,31.738,0
1580492911.403,25.391,33.203,34.180,19.531,-4.395,0
1580492911.406,42.480,32.715,29.297,16.113,70.312,0
1580492911.410,41.992,36.621,28.809,28.809,61.523,0
1580492911.414,29.297,40.039,30.762,29.785,-16.602,0
1580492911.418,31.250,40.039,28.809,26.855,38.574,0
1580492911.422,51.758,41.016,25.879,30.273,76.172,0
1580492911.439,52.734,41.016,25.879,29.785,48.828,0
1580492911.443,34.180,40.527,26.855,30.762,20.996,0
1580492911.447,30.273,42.480,30.762,30.273,-40.527,0
1580492911.451,39.551,40.527,32.227,25.391,-48.828,0
1580492911.455,36.621,36.133,31.250,22.461,3.418,0
1580492911.459,19.531,34.668,31.738,19.043,43.945,0
1580492911.463,3.418,32.715,30.762,15.137,53.223,0
1580492911.466,14.160,30.273,26.855,13.184,14.648,0
1580492911.470,32.715,28.809,25.879,11.230,2.930,0
1580492911.474,26.367,30.273,30.273,15.625,41.504,0
1580492911.478,11.719,32.715,32.715,22.949,63.965,0
1580492911.482,18.555,33.203,31.250,22.949,50.781,0
1580492911.499,38.086,34.668,30.762,20.996,54.199,0
1580492911.503,35.156,39.062,30.762,20.508,28.809,0
1580492911.507,17.578,40.527,32.227,18.555,62.500,0
1580492911.511,21.484,39.062,29.785,15.625,64.453,0
1580492911.515,35.645,36.133,26.367,16.113,33.203,0
1580492911.519,42.480,33.691,27.832,21.973,49.805,0
1580492911.523,32.227,33.691,30.762,30.762,31.738,0
1580492911.526,26.367,36.133,32.715,35.156,-9.277,0
1580492911.530,39.062,38.086,32.227,31.738,33.203,0
1580492911.534,44.434,35.645,30.273,31.250,54.199,0
1580492911.538,26.855,33.691,30.273,31.250,38.086,0
1580492911.542,14.648,33.691,29.297,26.367,76.172,0
1580492911.501,28.809,33.691,24.902,20.996,-3.906,0
1580492911.505,40.527,33.203,23.438,18.555,-72.754,0
1580492911.509,30.273,34.668,24.902,14.648,1.953,0
1580492911.513,15.137,37.109,25.391,10.254,57.617,0
1580492911.517,23.438,36.133,22.949,8.789,85.449,0
1580492911.521,40.527,36.621,21.484,7.812,63.965,0
1580492911.525,37.109,38.086,22.461,6.836,22.949,0
1580492911.528,20.020,38.574,23.438,10.742,57.129,0
1580492911.532,20.020,39.062,23.438,15.625,24.414,0
1580492911.536,36.621,35.645,22.461,12.207,-2.441,0
