timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579288660.671,-64.453,20.020,12.695,-131.836,-143.555,0
1579288660.675,-60.547,19.043,23.926,-84.473,-150.879,0
1579288660.679,-41.992,39.062,30.273,-82.520,-160.156,0
1579288660.683,-53.223,31.250,15.625,-171.875,-179.688,0
1579288660.687,-53.223,17.578,14.160,-219.727,-202.148,0
1579288660.691,-46.875,7.324,20.996,-165.527,-185.059,0
1579288660.695,-62.012,4.883,18.066,-155.762,-209.961,0
1579288660.698,-57.617,7.812,15.625,-215.820,-259.766,0
1579288660.702,-52.246,7.324,24.414,-251.465,-254.395,0
1579288660.706,-33.203,12.207,35.156,-180.664,-253.418,0
1579288660.710,-11.230,33.203,32.715,-100.586,-226.562,0
1579288660.714,-28.320,28.320,20.508,-143.066,-243.164,0
1579288660.711,-41.504,31.738,21.484,-199.707,-272.949,0
1579288660.715,-34.668,24.902,24.902,-171.387,-239.746,0
1579288660.719,-29.297,-2.930,29.297,-119.629,-240.723,0
1579288660.723,-37.109,14.648,25.879,-135.254,-253.418,0
1579288660.727,-55.176,27.344,15.625,-213.379,-271.484,0
1579288660.731,-59.570,24.414,15.137,-220.215,-291.016,0
1579288660.735,-56.641,26.855,18.066,-144.043,-287.109,0
1579288660.738,-52.734,21.484,27.344,-118.164,-274.902,0
1579288660.742,-35.156,31.250,32.227,-168.945,-242.188,0
1579288660.746,-30.762,27.832,21.973,-208.984,-268.555,0
1579288660.750,-29.297,18.555,13.672,-155.762,-295.898,0
1579288660.754,-15.137,20.508,21.973,-105.957,-257.812,0
1579288660.751,-5.371,9.766,30.273,-141.602,-274.902,0
1579288660.755,-0.977,21.484,26.855,-191.406,-321.777,0
1579288660.759,7.324,37.109,30.273,-151.855,-355.469,0
1579288660.763,10.254,15.137,27.832,-69.336,-343.262,0
1579288660.767,3.906,16.602,22.461,-78.125,-317.871,0
1579288660.771,-8.301,29.297,18.066,-135.254,-333.496,0
1579288660.775,0.488,17.090,21.484,-111.816,-340.332,0
1579288660.778,16.602,17.578,23.926,-34.180,-321.777,0
1579288660.782,20.020,24.902,17.090,-26.855,-337.891,0
1579288660.786,20.996,28.320,18.555,-89.355,-341.309,0
1579288660.790,19.043,25.391,17.090,-94.238,-339.844,0
1579288660.794,24.414,22.949,18.066,-30.762,-345.215,0
1579288660.811,25.391,31.250,18.066,-16.113,-341.309,0
1579288660.815,17.090,36.133,14.160,-73.730,-358.887,0
1579288660.819,19.043,36.621,17.578,-115.723,-352.539,0
1579288660.823,25.391,27.832,23.438,-66.406,-343.262,0
1579288660.827,36.133,23.438,27.832,-24.902,-321.289,0
1579288660.831,38.574,26.367,18.066,-75.684,-318.848,0
1579288660.835,32.227,20.508,12.207,-120.117,-329.102,0
1579288660.838,29.785,18.066,21.973,-84.473,-340.820,0
1579288660.842,44.434,23.438,27.832,-19.531,-332.520,0
1579288660.846,59.082,31.738,23.926,-55.176,-330.566,0
1579288660.850,45.898,29.297,16.113,-140.137,-350.586,0
1579288660.854,31.250,25.391,14.648,-130.859,-362.793,0
1579288660.851,35.156,16.602,24.902,-68.359,-349.121,0
1579288660.855,33.203,22.461,27.344,-58.594,-335.938,0
1579288660.859,33.691,36.621,21.484,-127.441,-343.262,0
1579288660.863,25.879,32.227,12.695,-146.973,-355.469,0
1579288660.867,18.555,18.066,14.160,-57.617,-369.629,0
1579288660.871,27.344,14.160,23.438,-15.625,-341.309,0
1579288660.875,29.785,25.879,28.320,-55.176,-337.402,0
1579288660.878,38.086,21.973,25.391,-90.332,-355.469,0
1579288660.882,41.504,12.207,14.160,-36.621,-312.012,0
1579288660.886,33.691,13.184,13.672,28.809,-314.453,0
1579288660.890,20.020,7.812,19.043,-21.973,-321.777,0
1579288660.894,12.695,12.695,19.531,-84.961,-313.477,0
1579288660.891,17.578,32.715,19.043,-65.430,-328.125,0
1579288660.895,6.836,37.109,19.043,-25.879,-335.449,0
1579288660.899,0.000,29.785,11.230,-47.852,-351.562,0
1579288660.903,0.488,19.531,13.672,-123.535,-332.031,0
1579288660.907,-1.953,23.926,12.695,-122.559,-342.773,0
1579288660.911,-12.207,12.207,10.254,-52.734,-337.891,0
1579288660.915,-20.996,5.859,19.043,-60.547,-316.895,0
1579288660.918,-17.090,36.621,16.113,-123.535,-358.398,0
1579288660.922,-28.320,40.527,13.184,-147.461,-385.254,0
1579288660.926,-21.973,43.945,18.555,-79.102,-341.797,0
1579288660.930,-2.930,41.504,20.020,-36.133,-319.824,0
1579288660.934,-2.441,30.762,12.695,-82.520,-320.801,0
1579288660.952,4.883,26.367,8.301,-102.051,-310.059,0
1579288660.956,10.254,20.508,12.207,-57.617,-315.430,0
1579288660.960,8.301,23.438,14.160,-17.578,-305.176,0
1579288660.964,29.785,16.113,14.648,-41.016,-276.367,0
1579288660.968,39.551,18.555,17.578,-78.125,-276.855,0
1579288660.972,24.414,30.762,15.137,-65.430,-298.340,0
1579288660.976,32.715,38.086,19.043,-13.184,-287.598,0
1579288660.979,40.527,35.645,14.160,-19.043,-290.527,0
1579288660.983,19.043,21.973,9.766,-100.098,-301.270,0
1579288660.987,20.020,22.949,18.066,-107.910,-290.039,0
1579288660.991,31.738,16.602,18.066,-27.344,-276.855,0
1579288660.995,34.668,16.113,13.184,-14.648,-281.250,0
1579288660.991,40.527,16.113,16.113,-81.055,-297.363,0
