timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579272272.736,35.645,48.340,53.223,19.531,11.230,0
1579272272.740,34.180,45.410,46.875,21.973,23.438,0
1579272272.744,35.156,45.898,49.805,26.855,26.855,0
1579272272.748,34.668,48.340,56.641,27.832,39.551,0
1579272272.752,27.344,41.016,53.711,20.020,51.758,0
1579272272.756,18.066,34.180,41.504,22.949,24.902,0
1579272272.760,15.625,41.016,41.016,28.809,2.930,0
1579272272.763,19.531,43.945,53.223,23.926,30.273,0
1579272272.767,22.949,42.969,52.246,21.973,92.773,0
1579272272.771,23.926,46.387,53.223,18.555,81.543,0
1579272272.775,21.973,43.945,53.711,13.672,37.109,0
1579272272.779,27.344,41.016,48.340,15.625,25.879,0
1579272272.776,27.344,41.992,48.340,15.625,-4.883,0
1579272272.780,22.949,41.992,41.504,16.113,30.273,0
1579272272.784,31.250,47.852,34.180,23.926,14.160,0
1579272272.788,32.715,45.410,41.504,22.949,63.477,0
1579272272.792,33.203,43.457,54.199,19.531,105.957,0
1579272272.796,32.227,41.504,51.758,16.602,38.574,0
1579272272.800,30.273,38.574,52.734,20.996,28.809,0
1579272272.803,33.691,43.457,58.594,32.715,46.387,0
1579272272.807,38.574,46.875,53.223,30.762,76.660,0
1579272272.811,36.621,48.828,53.711,24.414,39.062,0
1579272272.815,34.668,47.363,51.758,23.926,-37.109,0
1579272272.819,40.527,46.875,46.387,29.297,-66.406,0
1579272272.836,47.852,52.246,50.293,34.668,21.973,0
1579272272.840,36.621,42.969,56.152,20.508,46.387,0
1579272272.844,26.367,40.527,51.270,11.719,59.570,0
1579272272.848,35.645,47.852,44.434,23.438,62.012,0
1579272272.852,34.180,43.457,45.410,21.484,16.113,0
1579272272.856,35.156,41.016,46.387,17.578,44.922,0
1579272272.860,34.668,44.434,46.875,18.066,54.199,0
1579272272.863,26.855,43.457,50.781,22.461,21.484,0
1579272272.867,35.645,45.410,50.293,28.809,-3.418,0
1579272272.871,33.203,44.922,47.852,25.879,31.250,0
1579272272.875,24.414,42.969,53.711,19.531,46.875,0
1579272272.879,24.414,41.016,54.199,16.602,15.625,0
1579272272.876,21.973,42.969,44.434,20.996,2.441,0
1579272272.880,21.484,44.922,40.527,21.484,28.320,0
1579272272.884,22.949,43.945,48.828,14.648,19.531,0
1579272272.888,22.461,42.969,43.945,12.695,31.738,0
1579272272.892,23.926,42.480,35.156,20.020,33.203,0
1579272272.896,27.832,44.922,48.828,22.461,8.789,0
1579272272.900,26.855,44.434,54.199,17.578,33.203,0
1579272272.903,15.137,34.180,44.922,8.789,14.160,0
1579272272.907,11.230,32.715,43.457,13.184,-5.859,0
1579272272.911,18.555,41.016,37.598,18.066,49.316,0
1579272272.915,19.531,41.016,39.551,12.207,109.375,0
1579272272.919,22.461,41.016,55.664,15.625,70.801,0
1579272272.916,25.879,40.527,58.594,21.973,39.551,0
1579272272.920,26.367,35.156,46.875,22.461,105.469,0
1579272272.924,26.367,38.574,36.133,16.113,77.637,0
1579272272.928,31.738,50.781,50.293,19.531,70.312,0
1579272272.932,32.227,43.945,58.105,26.367,65.430,0
1579272272.936,28.809,36.621,48.828,24.902,64.453,0
1579272272.940,29.297,42.480,39.551,25.879,90.820,0
1579272272.943,30.273,43.457,41.504,26.367,66.406,0
1579272272.947,32.715,50.781,50.293,24.902,9.277,0
1579272272.951,32.715,49.316,47.852,28.809,-13.672,0
1579272272.955,28.809,43.945,50.293,29.785,62.012,0
1579272272.959,26.367,45.410,45.898,19.043,55.176,0
1579272272.976,32.715,49.805,50.781,24.902,-32.715,0
1579272272.980,26.855,45.898,53.223,27.832,9.766,0
1579272272.984,26.367,41.016,47.852,23.926,11.230,0
1579272272.988,33.691,43.457,56.641,20.996,-8.789,0
1579272272.992,25.391,43.945,50.293,14.648,8.789,0
1579272272.996,27.832,45.898,39.551,18.066,23.438,0
1579272273.000,28.809,44.922,42.480,20.996,81.055,0
1579272273.003,25.879,45.410,47.363,25.391,68.848,0
1579272273.007,27.832,45.898,47.363,20.508,67.871,0
1579272273.011,27.344,44.434,53.223,21.484,114.258,0
1579272273.015,24.902,41.992,56.152,24.902,62.012,0
1579272273.019,26.367,45.410,47.363,17.578,4.395,0
1579272273.016,27.832,50.781,46.387,19.043,27.832,0
1579272273.020,23.438,44.922,41.992,17.090,60.059,0
1579272273.024,28.809,43.457,44.922,21.484,70.312,0
1579272273.028,29.297,45.410,55.176,26.367,38.574,0
1579272273.032,26.855,45.898,58.105,24.902,49.316,0
1579272273.036,33.203,45.898,51.758,23.438,60.547,0
1579272273.040,38.086,44.434,50.781,28.809,66.406,0
1579272273.043,34.668,41.016,48.340,26.855,51.270,0
1579272273.047,34.180,32.715,47.363,20.508,-3.418,0
1579272273.051,40.039,33.691,50.781,27.344,13.672,0
1579272273.055,27.832,46.387,47.363,20.996,57.617,0
1579272273.059,9.277,49.316,49.805,3.418,76.172,0
1579272273.056,8.789,45.898,38.574,-2.441,69.336,0
1579272273.060,16.113,41.992,33.691,0.000,29.785,0
1579272273.064,18.555,44.434,48.340,6.836,46.387,0
1579272273.068,18.066,43.945,54.688,12.207,46.875,0
1579272273.072,21.484,42.969,53.711,15.137,-2.930,0
1579272273.076,20.020,37.598,43.945,10.254,-15.625,0
1579272273.080,17.090,33.691,40.039,4.883,22.949,0
1579272273.083,19.531,41.016,44.922,7.324,-8.789,0
1579272273.087,25.879,37.598,45.898,7.812,5.371,0
