timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579294698.343,56.641,35.645,34.668,52.734,23.438,0
1579294698.347,7.812,62.500,24.414,34.180,62.988,0
1579294698.351,70.801,40.039,26.855,63.965,35.156,0
1579294698.355,83.008,36.133,15.137,71.289,23.438,0
1579294698.359,40.527,22.949,20.508,66.406,34.180,0
1579294698.363,78.125,33.691,23.926,92.285,26.855,0
1579294698.367,109.863,31.250,18.555,108.887,32.715,0
1579294698.370,129.395,16.113,22.949,119.141,62.012,0
1579294698.374,152.344,17.578,22.461,128.418,80.566,0
1579294698.378,122.559,27.344,12.695,113.281,38.086,0
1579294698.382,150.391,10.742,15.625,140.137,5.371,0
1579294698.386,143.066,31.738,9.766,128.906,-3.906,0
1579294698.383,141.602,23.438,11.719,126.465,1.953,0
1579294698.387,120.117,23.438,20.020,125.000,-7.324,0
1579294698.391,116.699,30.762,20.996,117.676,-34.668,0
1579294698.395,159.180,23.926,18.066,144.531,-44.922,0
1579294698.399,112.793,37.598,15.137,109.375,27.832,0
1579294698.403,61.035,31.738,6.348,88.379,50.781,0
1579294698.407,90.820,28.809,16.602,101.562,25.879,0
1579294698.410,136.719,20.020,29.297,106.445,40.527,0
1579294698.414,100.098,23.438,13.184,95.215,47.363,0
1579294698.418,67.871,29.785,29.785,70.801,40.527,0
1579294698.422,54.688,29.785,35.156,48.340,66.895,0
1579294698.426,19.043,31.738,28.809,29.785,89.844,0
1579294698.423,-23.438,31.250,47.363,-10.742,55.176,0
1579294698.427,-52.246,33.691,48.828,-37.598,20.996,0
1579294698.431,-71.289,56.152,36.621,-59.082,41.016,0
1579294698.435,-63.965,50.293,42.969,-78.613,41.992,0
1579294698.439,-75.195,49.316,32.715,-82.520,20.996,0
1579294698.443,-107.422,52.246,27.832,-102.051,20.508,0
1579294698.447,-94.727,31.250,33.691,-99.121,92.773,0
1579294698.450,-75.684,39.062,38.574,-88.867,99.121,0
1579294698.454,-141.113,73.242,37.109,-131.348,14.648,0
1579294698.458,-123.047,54.688,32.227,-123.047,-2.930,0
1579294698.462,-76.172,51.270,32.715,-107.422,52.734,0
1579294698.466,-94.238,71.777,30.273,-118.164,50.293,0
1579294698.483,-77.148,60.547,36.621,-109.375,5.859,0
1579294698.487,-61.035,39.062,47.852,-90.332,25.391,0
1579294698.491,-75.195,31.250,41.504,-87.891,18.555,0
1579294698.495,-123.047,70.801,18.555,-109.375,16.113,0
1579294698.499,-101.074,70.801,30.762,-93.750,32.227,0
1579294698.503,-68.848,59.082,48.340,-103.516,76.172,0
1579294698.507,-55.664,38.086,48.340,-98.145,85.449,0
1579294698.510,-45.898,56.641,22.461,-73.242,28.320,0
1579294698.514,-47.852,69.824,24.902,-57.129,46.875,0
1579294698.518,-28.320,33.691,45.898,-39.551,66.406,0
1579294698.522,-19.043,49.805,22.461,-34.668,52.734,0
1579294698.526,-44.922,80.566,4.883,-53.711,33.691,0
1579294698.523,15.625,34.668,53.711,-18.555,-2.441,0
1579294698.527,45.410,13.184,58.105,24.902,7.324,0
1579294698.531,10.742,74.219,17.090,24.902,46.875,0
1579294698.535,9.277,82.031,20.020,24.902,23.926,0
1579294698.539,42.969,22.949,33.691,47.852,-4.883,0
1579294698.543,66.895,25.879,21.973,93.262,57.617,0
1579294698.547,120.117,15.625,32.715,135.254,101.562,0
1579294698.550,160.645,1.953,44.434,138.184,79.102,0
1579294698.554,117.188,12.207,36.133,140.625,62.988,0
1579294698.558,120.605,29.297,17.090,153.320,26.367,0
1579294698.562,96.191,72.754,-4.883,123.535,14.648,0
1579294698.566,112.793,16.113,0.488,154.785,12.207,0
1579294698.563,164.062,1.465,19.043,187.012,21.973,0
1579294698.567,178.223,2.441,33.691,176.270,54.688,0
1579294698.571,158.203,19.043,15.137,156.738,38.086,0
1579294698.575,168.457,15.137,22.461,148.926,-4.395,0
1579294698.579,188.477,-14.160,23.438,174.316,41.016,0
1579294698.583,158.691,9.277,9.766,167.480,72.754,0
1579294698.587,156.738,25.391,10.742,159.668,56.152,0
1579294698.590,166.504,22.461,16.602,162.109,19.043,0
1579294698.594,181.152,-4.883,23.926,166.016,2.930,0
1579294698.598,144.531,26.855,13.184,166.992,20.996,0
1579294698.602,147.461,22.461,22.461,180.664,41.504,0
1579294698.606,184.082,-4.395,33.203,176.758,54.688,0
1579294698.623,200.684,8.301,20.508,164.062,39.551,0
1579294698.627,179.688,34.668,13.672,151.367,6.348,0
1579294698.631,121.094,15.137,29.785,127.441,41.504,0
1579294698.635,157.715,-1.953,17.090,157.715,50.781,0
1579294698.639,168.457,28.809,5.859,165.039,23.926,0
1579294698.643,134.766,30.273,23.438,138.672,43.457,0
1579294698.647,128.418,24.414,26.367,138.184,71.777,0
1579294698.650,138.184,37.598,37.598,145.508,57.617,0
1579294698.654,121.094,32.227,29.785,133.301,34.668,0
1579294698.658,73.242,28.809,17.090,95.703,61.523,0
1579294698.662,78.613,15.137,33.691,101.074,41.016,0
1579294698.666,107.422,1.953,31.250,107.910,0.488,0
1579294698.663,106.934,21.484,37.109,105.469,28.320,0
1579294698.667,87.402,14.648,37.598,103.516,38.086,0
1579294698.671,119.629,3.418,15.625,124.023,60.059,0
1579294698.675,82.031,51.758,10.742,112.305,67.871,0
1579294698.679,65.918,37.109,21.484,87.402,36.133,0
1579294698.683,86.914,41.016,21.973,81.055,39.062,0
1579294698.687,87.891,40.039,41.992,71.289,98.633,0
1579294698.690,64.453,14.160,45.898,74.707,114.258,0
1579294698.694,3.418,56.641,14.648,29.297,47.363,0
1579294698.698,62.012,27.832,37.109,36.133,20.020,0
1579294698.702,29.297,21.973,38.086,2.441,-16.113,0
1579294698.706,6.348,32.715,30.273,6.836,13.672,0
1579294698.703,74.707,17.090,34.180,49.805,0.488,0
1579294698.707,66.406,36.133,33.691,20.020,-22.461,0
1579294698.711,-55.176,40.527,45.898,-13.184,18.066,0
1579294698.715,-51.758,41.992,36.133,-10.742,18.555,0
1579294698.719,27.344,57.617,29.785,23.926,35.156,0
1579294698.723,8.789,26.367,65.430,-9.766,36.621,0
1579294698.727,-19.043,24.414,65.430,-27.832,56.641,0
1579294698.730,-47.852,58.105,37.598,-40.039,38.086,0
1579294698.734,-34.180,49.805,42.969,-50.293,-35.645,0
1579294698.738,-54.199,28.320,65.918,-67.383,10.254,0
1579294698.742,-128.418,33.203,56.152,-120.117,63.965,0
1579294698.746,-105.469,62.500,41.016,-113.770,49.316,0
1579294698.763,-92.285,50.293,52.734,-96.680,22.949,0
1579294698.767,-135.254,37.109,47.852,-103.027,44.434,0
1579294698.771,-126.465,61.523,38.086,-120.605,27.344,0
1579294698.775,-100.586,50.293,40.527,-124.023,-6.836,0
1579294698.779,-55.664,42.969,48.828,-100.586,-11.230,0
1579294698.783,-100.098,62.988,47.363,-121.094,4.395,0
1579294698.787,-151.367,69.336,40.527,-136.230,10.254,0
1579294698.790,-85.449,44.922,50.781,-101.074,31.250,0
1579294698.794,-62.500,48.340,51.270,-87.891,17.578,0
1579294698.798,-55.176,51.270,44.434,-67.383,6.348,0
1579294698.802,-76.172,46.875,47.852,-75.684,-14.648,0
1579294698.806,-96.191,53.223,48.340,-69.824,28.320,0
1579294698.803,-38.574,49.805,41.504,-45.898,44.434,0
1579294698.807,-32.227,41.992,42.480,-34.180,-15.625,0
1579294698.811,-43.945,34.668,58.594,-40.039,52.246,0
1579294698.815,1.465,29.785,52.246,-19.043,68.359,0
1579294698.819,42.480,40.039,33.203,35.156,31.250,0
1579294698.823,52.246,38.574,40.527,44.922,11.719,0
1579294698.827,47.852,29.785,43.457,48.828,-1.465,0
1579294698.830,65.918,24.902,37.109,51.270,-12.695,0
1579294698.834,80.078,27.832,39.551,62.012,0.000,0
1579294698.838,101.074,34.668,23.438,85.449,50.293,0
1579294698.842,124.023,36.133,15.625,88.867,77.148,0
1579294698.846,115.234,31.250,22.949,102.051,67.383,0
1579294698.843,122.559,38.086,17.578,119.141,22.949,0
1579294698.847,138.184,36.621,19.531,109.375,80.566,0
1579294698.851,135.254,32.227,16.602,104.004,135.254,0
1579294698.855,121.094,36.133,11.230,118.652,84.961,0
1579294698.859,126.953,36.621,9.277,109.375,70.801,0
1579294698.863,140.137,33.691,11.230,97.168,72.266,0
1579294698.867,107.422,32.715,12.207,104.004,67.871,0
1579294698.870,88.379,32.227,15.137,107.422,28.809,0
1579294698.874,93.750,24.414,23.926,95.703,15.625,0
1579294698.878,93.262,26.855,21.484,100.098,32.227,0
1579294698.882,100.098,29.297,15.137,120.605,3.906,0
1579294698.886,109.375,31.250,16.602,112.793,5.859,0
1579294698.903,106.934,32.715,19.531,86.914,31.250,0
