timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1579294521.642,35.156,35.645,32.227,5.859,10.742,0
1579294521.646,38.086,35.645,33.691,11.719,60.547,0
1579294521.650,35.645,38.086,34.180,14.648,81.543,0
1579294521.654,35.645,38.574,35.156,12.695,89.355,0
1579294521.658,37.109,37.109,33.691,8.789,93.262,0
1579294521.662,35.645,41.016,32.227,13.184,37.598,0
1579294521.666,31.250,41.504,33.691,15.137,23.438,0
1579294521.669,29.297,37.598,35.156,8.301,-1.953,0
1579294521.673,27.832,35.645,33.691,6.348,-12.207,0
1579294521.677,22.461,32.715,34.180,9.277,17.578,0
1579294521.681,21.973,34.180,35.156,18.555,-3.418,0
1579294521.685,26.367,36.621,34.180,21.484,-38.086,0
1579294521.683,27.344,35.156,32.715,18.066,24.902,0
1579294521.687,24.902,37.109,33.691,21.973,24.414,0
1579294521.691,21.484,35.645,33.691,24.414,53.223,0
1579294521.695,18.555,34.180,35.156,19.531,10.254,0
1579294521.699,20.996,33.691,36.621,12.695,-62.500,0
1579294521.703,21.973,34.180,33.691,4.883,7.812,0
1579294521.707,19.043,34.180,30.273,9.277,11.719,0
1579294521.710,22.949,34.180,32.227,21.484,27.344,0
1579294521.714,27.832,35.645,33.691,17.578,53.223,0
1579294521.718,27.832,37.109,33.691,8.789,107.422,0
1579294521.722,25.879,39.551,35.156,6.836,66.895,0
1579294521.726,28.809,38.574,38.086,12.207,-36.133,0
1579294521.723,33.203,36.133,39.062,18.066,3.418,0
1579294521.727,33.691,36.621,36.621,16.113,32.227,0
1579294521.731,33.203,37.598,37.109,18.066,16.113,0
1579294521.735,35.156,37.109,39.062,18.066,22.461,0
1579294521.739,34.180,36.621,36.621,16.602,34.180,0
1579294521.743,31.738,38.086,36.133,19.531,65.918,0
1579294521.747,32.227,39.062,39.062,15.625,67.871,0
1579294521.750,35.156,40.039,35.645,21.484,38.086,0
1579294521.754,32.715,39.062,33.203,28.809,30.762,0
1579294521.758,29.785,35.645,36.133,23.926,18.066,0
