,image_type,oddball,mark,rts,resps
0,0,0,2,0.6652451000012292,m
1,0,0,2,0.46742910000255433,m
2,0,0,2,0.43376270000328954,m
3,1,1,1,0.40050180000286195,z
4,1,0,0,0.43381880000137607,m
5,0,0,2,0.4001036000012661,z
6,0,0,2,0.45072220000307994,m
7,0,0,2,0.4003181999997094,m
8,1,0,0,0.4835884999978832,z
9,1,0,0,0.48218490000103165,z
10,1,0,0,0.3676274999999425,z
11,0,0,2,0.48351859999751845,m
12,1,1,1,0.5335228000006156,z
13,1,0,0,0.45027869999666525,m
14,1,1,1,0.41699229999988074,z
15,1,0,0,0.46728899999856677,z
16,1,0,0,0.41706229999843525,z
17,0,0,2,0.43297650000124466,m
18,1,0,0,0.5502602000014614,z
19,0,1,3,0.4668515999991403,m
20,1,0,0,0.5005358999994716,z
21,0,0,2,0.5335534999965654,m
22,1,0,0,0.45062059999950477,z
23,1,0,0,0.4171983000026249,z
24,0,0,2,0.41830770000322537,m
25,0,0,2,0.5003906999992596,m
26,1,0,0,0.483599700002018,z
27,1,0,0,0.5503125000005458,z
28,0,0,2,0.4669108000000117,m
29,1,0,0,0.46692760000108624,z
30,0,0,2,0.50026310000002,m
31,0,0,2,0.5670217999978824,z
32,0,0,2,0.5169892000013678,m
33,1,0,0,0.4510299999999712,z
34,0,0,2,0.4013019999993028,m
35,1,0,0,0.38417990000176405,m
36,0,1,3,0.46645190000330095,m
37,1,1,1,0.46687459999927095,z
38,0,0,2,0.5003041000024995,m
39,1,0,0,0.46790310000198554,z
40,1,0,0,0.4175858999980344,z
41,1,0,0,0.4839778000018049,z
42,0,0,2,0.5009533999998932,m
43,0,1,3,0.4345057000007264,m
44,1,0,0,0.48376259999617144,m
45,0,1,3,0.5841787000023975,m
46,1,0,0,0.716693999998081,z
47,1,0,0,0.40026990000128304,z
48,0,0,2,0.40021889999802407,m
49,0,0,2,0.45088709999868515,m
50,0,0,2,0.4183918999994103,z
51,0,1,3,0.6335713000021532,m
52,1,0,0,0.5005435999987096,z
53,1,0,0,0.4672523000013207,z
54,0,0,2,0.5835983999987624,m
55,1,0,0,0.4839806000014306,z
56,1,0,0,0.4836562999988745,z
57,0,0,2,0.4502324999980769,m
58,1,1,1,0.5333823000010616,z
59,1,0,0,0.5501326000004165,z
60,1,0,0,0.45050239999901476,z
61,1,0,0,0.4671176000025883,z
62,0,0,2,0.45064689999770935,m
63,0,0,2,0.5003152000005628,m
64,1,0,0,0.6501770000011609,z
65,0,0,2,0.45040819999919934,m
66,1,0,0,0.5342126000003802,z
67,1,0,0,0.5336635000024788,z
68,1,0,0,0.38366049999833973,z
69,0,1,3,0.4015962000021387,m
70,1,0,0,0.5174870999982495,z
71,1,1,1,0.36829269999916425,z
72,1,0,0,0.4338601999975298,z
73,1,0,0,0.3669225999982171,z
