,image_type,oddball,mark,rts,resps
0,1,1,1,0.758279800001151,z
1,0,0,2,0.40205959999993945,m
2,1,1,1,0.46813429999883915,z
3,1,0,0,0.8167110000000739,m
4,0,0,2,0.4491701999998816,m
5,0,0,2,0.4674825000008884,m
6,0,0,2,0.3848536000000118,m
7,1,0,0,0.3845744999999816,z
8,0,0,2,0.31537239999897837,m
9,0,0,2,0.3176992999989776,m
10,1,0,0,0.41799839999987376,z
11,0,0,2,0.46923300000057533,m
12,0,0,2,0.38502400000096837,m
13,1,0,0,0.3682853999997744,z
14,0,0,2,0.3341665999999517,m
15,1,0,0,0.3537721999992145,z
16,1,0,0,0.36820269999938127,z
17,1,0,0,0.31742119999888163,z
18,0,0,2,0.3489943999990168,m
19,1,0,0,0.2683514000007954,z
20,0,0,2,0.33385630000025857,m
21,1,0,0,0.31742550000168546,m
22,0,0,2,0.3671898000009177,m
23,1,0,0,0.33396389999904574,z
24,1,0,0,0.33501849999998434,z
25,0,1,3,0.36819909999898015,m
26,0,0,2,0.4006188000011721,m
27,0,0,2,0.3516357000013417,m
28,1,0,0,0.3180958999991623,z
29,0,0,2,0.4017520999998545,m
30,0,0,2,0.31797740000077157,m
31,0,0,2,0.3192437999995259,m
32,0,0,2,0.284993500000005,m
33,0,0,2,0.31940390000035923,m
34,0,0,2,0.31720140000008046,m
35,1,0,0,0.40295379999889813,z
36,1,0,0,0.33423679999909917,z
37,1,0,0,0.28430090000148556,z
38,0,0,2,0.3348690000003687,m
39,1,0,0,0.33537889999865866,z
40,1,0,0,0.40243379999903617,m
41,1,0,0,0.3345309000017951,m
42,1,0,0,0.31782569999931765,z
43,1,0,0,0.2690746000000568,z
44,0,0,2,0.38232919999937853,m
45,1,0,0,0.3349819999997474,z
46,1,0,0,0.2841569999999194,z
47,1,0,0,0.2510336999997389,z
48,1,0,0,0.2668374999998484,z
49,0,0,2,0.41891549999988076,m
50,0,0,2,0.35195820000127376,m
51,1,0,0,0.335227099998908,z
52,1,0,0,0.46794350000055585,z
53,1,0,0,0.334436200000376,z
54,1,1,1,0.33539730000028434,z
55,0,0,2,0.3665069000005867,m
56,0,0,2,0.38438599999884193,z
57,1,0,0,0.36825349999860646,z
58,1,0,0,0.4535360999996909,z
59,1,0,0,0.30108140000154426,z
60,1,0,0,0.3854838000000034,z
61,0,0,2,0.3509064999998044,m
62,0,0,2,0.30188930000056247,m
63,0,0,2,0.35115279999989224,m
64,1,0,0,0.3848381999989505,z
65,1,0,0,0.3844380999991408,z
66,0,1,3,0.5166150999995425,m
67,1,0,0,0.3992325999997861,z
68,1,1,1,0.41733770000121817,z
69,0,0,2,0.4006409000000757,m
70,0,0,2,0.31499629999944245,m
71,1,0,0,0.3338519999991667,z
72,0,0,2,0.4337164000009355,m
