,image_type,oddball,mark,rts,resps
0,1,1,1,0.60569599999922,z
1,1,0,0,0.5334264999967482,z
2,1,0,0,0.35095970000288523,z
3,1,0,0,0.28517630000156746,z
4,1,0,0,0.29830470000183995,z
5,0,0,2,0.5345156000020319,m
6,1,0,0,0.4514247999996126,z
7,0,0,2,0.5340441999970982,m
8,1,0,0,0.43436650000276744,z
9,1,0,0,0.36784690000030684,z
10,0,0,2,0.36807860000125636,m
11,1,0,0,0.4848121000000878,z
12,1,0,0,0.35007439999605383,z
13,1,0,0,0.30217800000037465,z
14,1,0,0,0.33458719999991526,z
15,1,1,1,0.33660949999927947,z
16,1,0,0,0.41750340000144215,z
17,0,0,2,0.45090959999886904,m
18,0,0,2,0.3846717000031201,m
19,1,0,0,0.3673812999987083,m
20,0,0,2,0.5332599999985166,m
21,0,0,2,0.41741309999949516,m
22,1,0,0,0.41597560000193723,z
23,0,1,3,0.534375499998577,m
24,0,0,2,0.4349607000021267,m
25,0,1,3,0.46611949999615887,m
26,1,0,0,0.4190635000028853,z
27,0,0,2,0.5346138999998593,m
28,0,0,2,0.38256539999929107,m
29,1,0,0,0.4007332000016939,z
30,1,0,0,0.43396810000269603,z
31,0,0,2,0.5007717000010932,m
32,0,0,2,0.4500470000003858,m
33,1,0,0,0.4008692999988015,z
34,0,0,2,0.46732259999734693,m
35,0,0,2,0.700756500003427,m
36,1,1,1,0.482814800002604,z
37,0,1,3,0.46971520000208633,m
38,1,0,0,0.4507816999960248,z
39,0,0,2,0.4850967000038364,m
40,1,0,0,0.4825140000034587,m
41,0,0,2,0.4868739000016631,m
42,0,1,3,0.5007904999990835,m
43,1,0,0,0.4838656000009287,z
44,0,0,2,0.5018129000016862,m
45,1,0,0,0.533390399999226,z
46,1,0,0,0.4178762999994208,z
47,0,0,2,0.46831770000012285,m
48,0,0,2,0.41778720000130387,m
49,0,0,2,0.4008071999987406,m
50,0,0,2,0.3677491000031903,m
51,1,0,0,0.43401589999794,z
52,1,0,0,0.43503209999715287,z
53,1,0,0,0.3486617999999211,z
54,0,0,2,0.4338653000003547,m
55,1,0,0,0.45085610000178233,z
56,1,1,1,0.3524932999960859,z
57,0,0,2,0.4358339000019835,m
58,0,0,2,0.3525689999971373,m
59,1,0,0,0.46770560000171235,z
60,1,0,0,0.4179096000008802,z
61,0,0,2,0.45167320000067157,m
62,0,0,2,0.5010352999997618,m
63,1,0,0,0.39975450000366286,z
64,1,0,0,0.4513597999972496,z
65,0,0,2,0.4352044000006585,m
66,1,0,0,0.46879990000218474,z
67,0,0,2,0.4012622999981623,m
68,0,0,2,0.6028400000009646,m
69,0,0,2,0.36706749999835675,m
70,0,0,2,0.33500359999959084,m
71,1,1,1,0.41824600000061096,z
72,0,1,3,0.45210709999951404,m
73,0,0,2,0.3838616999948621,m
