,image_type,oddball,mark,rts,resps
0,1,0,0,0.5733315999987265,z
1,0,0,2,0.5004003000006951,m
2,0,0,2,0.5173587999996618,m
3,1,0,0,0.3844527000014466,z
4,0,0,2,0.45057299999717526,m
5,1,0,0,0.48388500000024237,z
6,1,0,0,0.3835209000007145,z
7,0,0,2,0.4174230000001913,m
8,1,0,0,0.3837705000017191,z
9,0,0,2,0.45279110000111067,z
10,0,0,2,0.4172549000008574,m
11,1,1,1,0.35091469999894365,m
12,1,0,0,0.39972960000219837,z
13,0,1,3,0.3670876999987005,m
14,1,1,1,0.46730620000091116,z
15,1,0,0,0.45051399999961905,z
16,1,0,0,0.45202319999983276,z
17,0,0,2,0.46728019999797255,m
18,1,0,0,0.4655444000013773,z
19,1,0,0,0.5329559999974023,z
20,0,0,2,0.5169402000005179,m
21,0,1,3,0.5019463000018018,m
22,0,0,2,0.4159423999981535,m
23,0,0,2,0.3517520999991661,m
24,0,0,2,0.38422520000026283,m
25,0,0,2,0.33423580000098574,m
26,0,0,2,0.3838736999989052,m
27,0,0,2,0.35045569999845183,m
28,1,0,0,0.3337895999995648,m
29,0,0,2,0.5168706999978816,m
30,1,0,0,0.5168384000039059,z
31,0,0,2,0.4338713000007903,m
32,0,0,2,NA,NA
33,0,0,2,0.4338027000027327,m
34,1,0,0,0.45055239999812735,z
35,1,0,0,0.43386559999947893,z
36,1,0,0,0.5681742000001497,z
37,0,0,2,0.6170360000001924,m
38,1,0,0,0.5824104000027821,z
39,1,0,0,0.4670644000002817,z
40,1,0,0,0.4670234000010134,z
41,0,0,2,0.43494339999833653,m
42,1,1,1,0.5007985999984701,z
43,1,1,1,0.4494298000030419,z
44,1,0,0,0.5174670000029931,z
45,0,1,3,0.5500807000042498,m
46,0,1,3,0.5168039000005864,m
47,0,0,2,0.5006552999989391,m
48,1,0,0,0.450960199998089,z
49,1,0,0,0.4673797999990974,z
50,1,1,1,0.401272199999265,z
51,1,0,0,0.4523471999986137,z
52,0,0,2,0.6507487999970614,m
53,1,0,0,0.45121930000052,m
54,0,0,2,0.5508332999989698,m
55,1,0,0,0.41708499999889015,z
56,0,0,2,0.6001955999993971,m
57,0,0,2,0.4351488000000481,m
58,1,1,1,0.5007614999996848,z
59,1,0,0,0.6002046999983788,z
60,0,0,2,0.5670859999978988,m
61,0,0,2,0.5010073000013104,m
62,1,1,1,0.5182110999984939,z
63,0,0,2,0.5515340999992162,m
64,1,1,1,0.5170317999970349,z
65,1,0,0,0.5347238000011343,z
66,1,0,0,0.500833099997922,z
67,0,0,2,0.600465399997399,m
68,0,1,3,0.3345064000036335,z
69,1,0,0,0.5334243999987003,z
70,0,0,2,0.5003427000020046,m
71,0,0,2,0.4334813000027604,m
72,0,0,2,0.5002237000017815,m
