,image_type,mark,oddball,rts,resps
0,1,0,0,NA,NA
1,1,1,1,NA,NA
2,1,1,1,NA,NA
3,0,2,0,NA,NA
4,1,0,0,NA,NA
5,0,2,0,NA,NA
6,0,3,1,NA,NA
7,1,0,0,0.47277678203996554,m
8,1,0,0,NA,NA
9,0,2,0,0.5688879132335014,m
10,0,2,0,0.46954197925299224,m
11,0,2,0,0.6501199034859368,m
12,1,1,1,0.4197358727592313,z
