,image_type,oddball,mark,rts,resps
0,1,0,0,0.5705299000000588,z
1,0,0,2,0.5180739000000179,m
2,1,0,0,0.48362170000025406,z
3,1,0,0,0.4663529000002091,z
4,1,0,0,0.5360880999999598,z
5,0,0,2,0.46655070000005017,m
6,0,1,3,0.483685200000046,m
7,1,0,0,0.45021669999993597,z
8,1,0,0,0.4334555000000897,z
9,1,0,0,0.3503883999999664,z
10,0,0,2,0.4835186999999148,m
11,0,0,2,0.5668132999999933,m
12,1,0,0,0.5177539000000964,m
13,0,0,2,0.45100830000003267,m
14,1,0,0,0.4172988000000897,z
15,0,1,3,0.41814499999983057,m
16,0,0,2,0.5171631000000199,z
17,0,0,2,0.45077619999973706,m
18,0,0,2,0.4348528999999979,m
19,1,0,0,0.4181112000001135,z
20,1,0,0,0.35181220000011937,z
21,0,0,2,0.4677650999997178,m
22,1,1,1,0.5184371999999933,z
23,0,0,2,0.6003741999997079,m
24,0,0,2,0.4999826000004859,m
25,0,0,2,0.5166656000003051,m
26,1,0,0,0.45065610000025114,z
27,1,0,0,0.433945099999429,z
28,0,0,2,0.39926530000010607,m
29,1,0,0,0.44990010000049474,z
30,0,0,2,0.5166995999998019,m
31,0,0,2,0.5500174000000722,m
32,1,0,0,0.6336191999999039,m
33,0,0,2,0.4507720999998155,m
34,0,0,2,0.5169543000002945,m
35,0,0,2,0.6168639000003107,m
36,0,0,2,0.4836546000001032,m
37,1,0,0,0.5667557999998405,z
38,1,0,0,0.566898799999553,z
39,1,0,0,0.40024440000032624,z
40,1,0,0,0.4857038999997796,z
41,0,0,2,0.517491299999872,m
42,0,1,3,0.5669272999998192,m
43,1,0,0,0.6836844999999514,z
44,1,0,0,0.40077909999994743,z
45,0,1,3,0.5513973999995472,m
46,0,1,3,0.7493401000001148,m
47,0,1,3,0.717037600000074,m
48,0,0,2,0.5839431000000403,z
49,1,0,0,0.5170395999997293,z
50,0,0,2,0.4673013000003481,m
51,0,0,2,0.5003479999999807,m
52,1,0,0,0.6005465000000039,z
53,1,1,1,0.4847726999996338,m
54,1,1,1,0.68505589999979,z
55,1,0,0,0.5673165999995782,z
56,1,0,0,0.4654152000001097,z
57,1,0,0,0.35205369999994796,z
58,0,0,2,0.39927880000004423,m
59,1,0,0,0.4321425000005057,z
60,0,0,2,0.5186769000000477,m
61,0,0,2,0.6177361000000019,m
62,1,1,1,0.533975900000236,m
63,1,0,0,0.5673726000000052,m
64,0,0,2,0.500948300000077,m
65,0,0,2,0.5508002999997879,m
66,0,0,2,0.5172352000004956,m
67,0,0,2,0.5347310000004046,m
68,0,0,2,0.5498311000002087,m
69,0,0,2,0.5181096999997645,m
70,1,0,0,0.5164623999997686,z
71,1,0,0,0.44927749999974465,z
72,0,0,2,0.649932599999943,m
