,image_type,oddball,mark,rts,resps
0,1,0,0,0.6534183999995227,z
1,0,0,2,0.46682360000024636,m
2,0,0,2,0.483627900000144,m
3,1,1,1,0.5166577000000074,z
4,0,0,2,0.516811699999862,m
5,1,0,0,0.45057080000016136,z
6,0,1,3,0.4835829000000196,m
7,1,0,0,0.4837573999998803,z
8,0,0,2,0.6666986999998143,m
9,0,0,2,0.333444700000209,m
10,1,0,0,0.5166694000001009,z
11,0,0,2,0.45024509999979623,m
12,1,0,0,0.5010110999998216,z
13,0,0,2,0.40126029999993396,m
14,1,0,0,0.4668445000002803,z
15,0,0,2,0.3839195999996745,m
16,1,0,0,0.4511018999994758,z
17,1,1,1,0.48442699999998307,z
18,1,0,0,0.6169631000000275,m
19,1,0,0,0.5176741000000269,z
20,0,1,3,0.6173717000000722,m
21,0,1,3,0.5334929000000925,m
22,0,0,2,0.46852480000002883,z
23,0,1,3,0.5322402000001576,m
24,1,0,0,0.46708140000022547,z
25,0,0,2,0.6168434999999015,m
26,1,0,0,0.46712549999978803,z
27,1,0,0,0.41704039999970055,z
28,1,1,1,0.4842327999999503,z
29,0,0,2,0.5667735999998496,m
30,1,0,0,0.568075900000252,m
31,0,0,2,0.5169400999998941,m
32,0,0,2,0.43513629999996706,m
33,1,1,1,0.5004405000001675,z
34,1,0,0,0.43421380000031684,z
35,1,0,0,0.5337107999999862,z
36,1,0,0,0.4336747999997863,z
37,1,0,0,0.4004133000004573,z
38,1,1,1,0.3849660000000046,z
39,1,0,0,0.38228690000027754,z
40,0,0,2,0.49771669999980594,z
41,0,0,2,0.5831661999999453,m
42,0,0,2,0.46673999999985893,m
43,0,0,2,0.3836762000002809,m
44,1,0,0,0.5527792999998862,z
45,1,0,0,0.4860443999998716,z
46,1,0,0,0.4171543000002824,z
47,1,0,0,0.4687794000002823,z
48,0,0,2,0.5193910999999727,m
49,1,0,0,0.4185735999999216,m
50,0,0,2,0.48498409999995196,m
51,0,0,2,0.5162395000003008,m
52,1,0,0,0.5834835000001621,z
53,0,0,2,0.45022839999981,m
54,0,0,2,0.4003810999999011,m
55,1,0,0,0.5502742000002705,z
56,0,0,2,0.7501523000000025,m
57,0,1,3,0.5003368000002264,m
58,1,0,0,0.5168391000002528,z
59,1,0,0,0.5835088000003403,m
60,0,0,2,0.4005185999998422,m
61,0,0,2,0.4503693000003002,m
62,0,0,2,0.40022469999969745,m
63,1,0,0,0.4506828999995447,z
64,0,0,2,0.5169777999999163,m
65,1,0,0,0.41707219999989187,z
66,0,0,2,0.501658700000126,m
67,0,0,2,0.45121239999982987,m
68,0,0,2,0.4009487000003662,m
69,1,0,0,0.43471409999975785,z
70,1,0,0,0.5335069000000614,z
71,0,0,2,0.45067569999980006,m
72,1,0,0,0.5005904999999049,z
73,0,0,2,0.5191027999997815,m
